"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"75","Toshunt","380284481$8.28%380.28m","634","96","99.39%","1,421,401.1",""
"52","Rippermcgoo","361176795$7.86%361.18m","631","85","98.30%","1,349,981.7",""
"65","Froginasock","358417269$7.80%358.42m","632","92","99.68%","1,339,667.3",""
"35","Illing","315291840$6.86%315.29m","628","63","99.44%","1,178,476.1",""
"35","Kamalabiden","270663313$5.89%270.66m","619","64","98.87%","1,011,666.6",""
"41","Chuckleduck","267746709$5.83%267.75m","626","69","99.17%","1,000,765.1",""
"27","Shiversting","252557688$5.50%252.56m","622","52","99.78%","943,992.7",""
"28","Krrn","248212262$5.40%248.21m","627","53","99.19%","927,750.6",""
"25","Therzsham","233758774$5.09%233.76m","627","48","98.67%","873,727.4",""
"21","Litlam","228544225$4.98%228.54m","633","39","99.35%","854,236.8",""
"15","Aingg","226980121$4.94%226.98m","623","34","99.27%","848,390.6",""
"17","Quarm","221766766$4.83%221.77m","625","34","98.76%","828,904.5",""
"20","Ampok","217672921$4.74%217.67m","620","39","99.01%","813,602.8",""
"15","Kusri","201876989$4.40%201.88m","624","27","86.32%","754,561.9",""
"12","Nitroburger","154872052$3.37%154.87m","631","22","99.16%","578,870.1",""
"43","Nixis","149181631$3.25%149.18m","628","71","99.56%","557,600.8",""
"12","Kornbreadd","130425118$2.84%130.43m","623","23","99.59%","487,494.0",""
"5","Biglick","99905347$2.18%99.91m","633","12","35.09%","373,419.3",""
"5","Bababryn","89608358$1.95%89.61m","627","9","21.31%","334,931.9",""
"18","Acupuncher","47347111$1.03%47.35m","625","28","66.48%","176,970.8",""
"16","Umbramist","43705437$0.95%43.71m","627","24","71.28%","163,359.2",""
"80","Thilinox","33108586$0.72%33.11m","624","91","95.19%","123,751.0",""
"67","Chimes","27777385$0.60%27.78m","628","81","77.83%","103,824.4",""
"38","Kratik","21534656$0.47%21.53m","635","49","48.28%","80,490.7",""
"16","Rawbdog","10313462$0.22%10.31m","604","19","68.66%","38,548.9",""
"-","Bear","146325$0.00%146.3k","-","-","0.00%","546.9",""
