"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"68","Illing","512408441$7.91%512.41m","628","95","99.36%","1,435,788.3",""
"54","Rippermcgoo","465524305$7.19%465.52m","631","87","97.27%","1,304,417.1",""
"68","Toshunt","455574111$7.04%455.57m","634","91","99.12%","1,276,536.3",""
"53","Froginasock","422640928$6.53%422.64m","632","82","99.83%","1,184,256.3",""
"44","Jëongyeon","401925102$6.21%401.93m","627","78","99.56%","1,126,209.7",""
"34","Kamalabiden","362292944$5.59%362.29m","622","67","99.53%","1,015,158.9",""
"20","Bababryn","336732265$5.20%336.73m","628","40","91.62%","943,536.9",""
"35","Chuckleduck","331995773$5.13%332.00m","626","61","98.92%","930,265.0",""
"20","Litlam","328702600$5.08%328.70m","633","41","99.68%","921,037.4",""
"29","Krrn","325447659$5.03%325.45m","628","55","99.51%","911,917.0",""
"23","Shiversting","323765833$5.00%323.77m","622","47","99.65%","907,204.4",""
"23","Biglick","307053102$4.74%307.05m","633","47","99.23%","860,374.7",""
"12","Quarm","290325651$4.48%290.33m","625","26","99.68%","813,503.7",""
"19","Therzsham","290132572$4.48%290.13m","627","38","99.59%","812,962.7",""
"12","Ampok","252632712$3.90%252.63m","622","24","99.95%","707,886.7",""
"10","Nitroburger","246736417$3.81%246.74m","633","19","94.54%","691,365.0",""
"5","Kusri","227967701$3.52%227.97m","624","10","87.09%","638,774.3",""
"17","Kornbreadd","174530542$2.70%174.53m","629","30","90.52%","489,041.3",""
"29","Nixis","160066829$2.47%160.07m","628","50","99.87%","448,513.5",""
"1","Rawbdog","91438044$1.41%91.44m","601","3","75.14%","256,212.9",""
"17","Acupuncher","66019103$1.02%66.02m","627","27","63.40%","184,988.1",""
"80","Thilinox","39379144$0.61%39.38m","626","91","99.21%","110,341.9",""
"61","Chimes","32047349$0.49%32.05m","631","75","62.34%","89,797.9",""
"4","Umbramist","26976371$0.42%26.98m","627","6","37.73%","75,588.8",""
"8","Kratik","3439080$0.05%3.44m","635","9","5.04%","9,636.4",""
