"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"48","Rippermcgoo","516396321$7.28%516.40m","631","85","99.43%","1,379,127.4",""
"50","Illing","508694615$7.17%508.69m","628","85","99.51%","1,358,558.6",""
"60","Toshunt","489807403$6.91%489.81m","634","89","99.24%","1,308,117.0",""
"45","Jëongyeon","477867218$6.74%477.87m","627","80","99.66%","1,276,228.6",""
"48","Froginasock","470286263$6.63%470.29m","632","79","99.71%","1,255,982.3",""
"26","Bababryn","409706860$5.78%409.71m","628","52","99.36%","1,094,194.4",""
"32","Kamalabiden","393798081$5.55%393.80m","622","65","99.34%","1,051,707.2",""
"25","Chuckleduck","351556883$4.96%351.56m","626","49","99.43%","938,894.6",""
"17","Shiversting","348245705$4.91%348.25m","622","37","99.66%","930,051.5",""
"19","Krrn","343113285$4.84%343.11m","628","44","99.32%","916,344.5",""
"16","Ampok","334527244$4.72%334.53m","622","33","99.71%","893,414.0",""
"8","Quarm","329722259$4.65%329.72m","625","19","99.24%","880,581.4",""
"10","Therzsham","293342976$4.14%293.34m","627","21","99.46%","783,424.1",""
"8","Biglick","274378456$3.87%274.38m","633","20","89.84%","732,776.0",""
"5","Kusri","273113877$3.85%273.11m","624","12","95.91%","729,398.7",""
"7","Litlam","266767770$3.76%266.77m","634","17","97.68%","712,450.3",""
"4","Nitroburger","230224391$3.25%230.22m","633","9","95.58%","614,854.8",""
"16","Kornbreadd","200585424$2.83%200.59m","629","32","99.23%","535,698.7",""
"22","Nixis","162951226$2.30%162.95m","628","42","99.36%","435,190.0",""
"1","Rawbdog","126095923$1.78%126.10m","601","3","94.93%","336,761.4",""
"42","Umbramist","111787045$1.58%111.79m","627","63","94.38%","298,547.0",""
"18","Acupuncher","77590654$1.09%77.59m","627","30","85.45%","207,219.5",""
"75","Chimes","52028683$0.73%52.03m","631","86","80.88%","138,951.8",""
"71","Thilinox","43636847$0.62%43.64m","624","83","96.30%","116,539.9",""
"10","Kratik","7275250$0.10%7.28m","635","11","10.25%","19,429.8",""
