"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"56","Toshunt","397038136$8.25%397.04m","634","84","98.94%","1,085,744.0",""
"44","Illing","375653977$7.80%375.65m","628","73","90.13%","1,027,266.7",""
"46","Froginasock","336869883$7.00%336.87m","632","76","87.36%","921,207.4",""
"28","Bababryn","311277611$6.46%311.28m","627","53","98.95%","851,222.5",""
"24","Shiversting","278928826$5.79%278.93m","622","47","88.40%","762,761.3",""
"25","Krrn","271741165$5.64%271.74m","627","49","96.31%","743,105.8",""
"24","Biglick","266575786$5.54%266.58m","633","47","79.60%","728,980.5",""
"33","Chuckleduck","263588190$5.47%263.59m","626","56","95.80%","720,810.6",""
"16","Quarm","253124807$5.26%253.12m","625","31","99.45%","692,197.4",""
"19","Litlam","252831232$5.25%252.83m","633","38","98.67%","691,394.5",""
"15","Ampok","242130409$5.03%242.13m","620","30","90.62%","662,132.0",""
"14","Therzsham","231853005$4.81%231.85m","627","27","99.61%","634,027.3",""
"11","Kusri","219524324$4.56%219.52m","624","21","88.55%","600,313.2",""
"12","Kamalabiden","200888019$4.17%200.89m","622","25","99.55%","549,350.2",""
"11","Nitroburger","179112487$3.72%179.11m","631","21","77.53%","489,802.6",""
"9","Rippermcgoo","178366436$3.70%178.37m","631","19","38.68%","487,762.4",""
"24","Nixis","124918088$2.59%124.92m","628","44","90.55%","341,602.1",""
"10","Kornbreadd","121038204$2.51%121.04m","623","20","88.94%","330,992.2",""
"2","Aingg","111681475$2.32%111.68m","623","5","39.98%","305,405.2",""
"24","Acupuncher","61356460$1.27%61.36m","625","40","73.11%","167,785.9",""
"12","Umbramist","38631215$0.80%38.63m","627","19","43.46%","105,641.3",""
"83","Thilinox","38043919$0.79%38.04m","624","93","99.03%","104,035.2",""
"69","Chimes","31543588$0.66%31.54m","628","82","88.59%","86,259.4",""
"24","Rawbdog","14471575$0.30%14.47m","604","31","67.15%","39,574.1",""
"23","Kratik","14050451$0.29%14.05m","635","30","34.90%","38,422.5",""
