"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"51","Illing","497848350$10.73%497.85m","628","84","99.65%","1,374,038.1",""
"67","Toshunt","493543073$10.63%493.54m","634","92","99.55%","1,362,155.7",""
"30","Kamalabiden","355166890$7.65%355.17m","622","58","94.01%","980,244.0",""
"21","Chuckleduck","289916750$6.25%289.92m","626","41","75.61%","800,156.6",""
"21","Therzsham","289290757$6.23%289.29m","627","41","99.60%","798,428.9",""
"14","Kusri","286081946$6.16%286.08m","624","26","96.91%","789,572.7",""
"14","Litlam","271545639$5.85%271.55m","634","27","99.21%","749,453.2",""
"17","Ampok","266364635$5.74%266.36m","622","34","99.51%","735,153.9",""
"11","Nitroburger","236349893$5.09%236.35m","631","22","99.43%","652,314.6",""
"9","Biglick","207954320$4.48%207.95m","633","20","73.78%","573,944.2",""
"5","Rippermcgoo","197826064$4.26%197.83m","631","12","35.77%","545,990.7",""
"5","Quarm","182143509$3.92%182.14m","625","10","99.57%","502,707.5",""
"6","Shiversting","159207174$3.43%159.21m","622","13","57.34%","439,404.3",""
"17","Kornbreadd","153542334$3.31%153.54m","627","33","99.53%","423,769.6",""
"4","Bababryn","149277899$3.22%149.28m","628","7","38.41%","412,000.0",""
"32","Nixis","146879658$3.16%146.88m","628","58","91.66%","405,381.0",""
"3","Krrn","114981125$2.48%114.98m","627","7","36.44%","317,342.5",""
"1","Rawbdog","98382559$2.12%98.38m","601","4","92.24%","271,531.2",""
"35","Umbramist","95978074$2.07%95.98m","627","57","99.72%","264,895.0",""
"18","Acupuncher","69467972$1.50%69.47m","625","31","66.61%","191,728.3",""
"71","Chimes","38608204$0.83%38.61m","629","85","76.21%","106,556.8",""
"50","Thilinox","24552852$0.53%24.55m","624","64","78.22%","67,764.7",""
"22","Kratik","16922869$0.36%16.92m","635","28","39.50%","46,706.3",""
