"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"-","Rolling Rubbish","1124678928$12.28%1.12b","-","-","5.70%","3,046,226.3",""
"86","Froginasock","729965722$7.97%729.97m","632","99","98.63%","1,977,133.8",""
"74","Bababryn","630369366$6.88%630.37m","627","96","94.79%","1,707,374.2",""
"81","Illing","601790846$6.57%601.79m","628","98","98.86%","1,629,968.4",""
"80","Toshunt","555248227$6.06%555.25m","634","97","98.44%","1,503,906.3",""
"41","Therzsham","470061492$5.13%470.06m","627","70","95.11%","1,273,175.5",""
"35","Shiversting","450922342$4.92%450.92m","622","64","94.74%","1,221,336.6",""
"38","Kamalabiden","425969178$4.65%425.97m","622","71","96.06%","1,153,750.2",""
"28","Litlam","412732818$4.50%412.73m","634","55","98.94%","1,117,899.1",""
"36","Chuckleduck","406217333$4.43%406.22m","626","62","94.20%","1,100,251.7",""
"18","Aingg","389059143$4.25%389.06m","623","40","99.24%","1,053,778.2",""
"20","Rippermcgoo","379046549$4.14%379.05m","631","42","68.59%","1,026,658.8",""
"19","Ampok","371839362$4.06%371.84m","620","39","94.83%","1,007,138.0",""
"13","Nitroburger","350200083$3.82%350.20m","631","24","95.85%","948,527.3",""
"12","Quarm","338505576$3.69%338.51m","625","25","98.87%","916,852.4",""
"14","Krrn","336251484$3.67%336.25m","627","30","98.75%","910,747.1",""
"12","Biglick","322833438$3.52%322.83m","633","27","86.77%","874,404.0",""
"6","Kusri","262368552$2.86%262.37m","624","13","89.39%","710,633.0",""
"24","Nixis","178885983$1.95%178.89m","628","40","72.39%","484,518.0",""
"9","Kornbreadd","169477801$1.85%169.48m","625","16","95.22%","459,035.7",""
"21","Acupuncher","79405164$0.87%79.41m","625","34","62.16%","215,071.2",""
"43","Chimes","55503296$0.61%55.50m","629","59","71.91%","150,332.3",""
"6","Umbramist","41395382$0.45%41.40m","627","10","56.93%","112,120.6",""
"67","Thilinox","39158694$0.43%39.16m","624","81","96.36%","106,062.5",""
"29","Rawbdog","26695429$0.29%26.70m","604","31","76.86%","72,305.4",""
"15","Kratik","10511350$0.11%10.51m","635","15","7.91%","28,470.3",""
"-","Environment","2697438$0.03%2.70m","-","-","0.00%","7,306.1",""
