"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"86","Froginasock","442777195$8.98%442.78m","636","94","99.58%","2,277,297.3",""
"97","Toshunt","439804372$8.92%439.80m","650","77","98.55%","2,262,007.5",""
"66","Rippermcgoo","393302516$7.98%393.30m","639","52","99.08%","2,022,838.5",""
"72","Illing","387091461$7.85%387.09m","645","45","99.48%","1,990,893.7",""
"48","Litlam","359019542$7.28%359.02m","642","32","95.54%","1,846,513.9",""
"61","Thilinox","313679630$6.36%313.68m","643","41","99.76%","1,613,321.1",""
"56","Jekter","308907030$6.27%308.91m","639","34","98.49%","1,588,774.6",""
"39","Aingg","299188041$6.07%299.19m","638","34","98.78%","1,538,787.7",""
"52","Chuckleduck","292098248$5.93%292.10m","637","40","94.97%","1,502,323.4",""
"38","Djbuttblastr","272436258$5.53%272.44m","638","28","99.21%","1,401,197.6",""
"38","Biglick","269327780$5.46%269.33m","639","23","97.76%","1,385,210.1",""
"36","Shiversting","249329572$5.06%249.33m","637","17","97.35%","1,282,355.0",""
"9","Kusri","221010732$4.48%221.01m","635","18","98.30%","1,136,705.2",""
"9","Quarm","193271058$3.92%193.27m","636","3","98.95%","994,034.2",""
"68","Nixis","171774622$3.48%171.77m","648","33","99.13%","883,473.4",""
"20","Therzdk","132006376$2.68%132.01m","624","37","99.18%","678,936.9",""
"53","Acupuncher","78070992$1.58%78.07m","652","17","87.87%","401,535.7",""
"21","Umbramist","52260620$1.06%52.26m","642","10","82.63%","268,787.5",""
"76","Chimes","32160220$0.65%32.16m","637","76","66.81%","165,406.9",""
"39","Kratik","22211644$0.45%22.21m","640","41","74.36%","114,239.2",""
