"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"90","Illing","384952601$9.12%384.95m","645","86","99.53%","1,810,808.8",""
"86","Toshunt","328521671$7.79%328.52m","650","53","98.88%","1,545,358.9",""
"78","Froginasock","321148690$7.61%321.15m","636","89","99.66%","1,510,676.6",""
"64","Rippermcgoo","313046355$7.42%313.05m","639","60","99.47%","1,472,563.4",""
"53","Jekter","288884266$6.85%288.88m","639","41","99.70%","1,358,905.4",""
"52","Thilinox","243606511$5.77%243.61m","643","36","99.51%","1,145,919.8",""
"54","Chuckleduck","238280871$5.65%238.28m","637","49","98.18%","1,120,868.1",""
"30","Litlam","235949479$5.59%235.95m","642","20","98.88%","1,109,901.3",""
"39","Djbuttblastr","232668855$5.52%232.67m","638","34","99.31%","1,094,469.3",""
"33","Aingg","230790163$5.47%230.79m","638","33","98.99%","1,085,632.0",""
"35","Nitroburger","214874967$5.09%214.87m","638","34","98.83%","1,010,767.3",""
"20","Kusri","188548350$4.47%188.55m","635","38","99.00%","886,927.4",""
"24","Biglick","186923349$4.43%186.92m","639","18","98.17%","879,283.4",""
"15","Quarm","167546970$3.97%167.55m","636","11","99.57%","788,137.4",""
"14","Ampok","150758932$3.57%150.76m","625","27","99.04%","709,166.8",""
"70","Nixis","148468275$3.52%148.47m","648","45","99.08%","698,391.6",""
"25","Therzdk","112547441$2.67%112.55m","625","49","99.80%","529,420.8",""
"2","Rawbdog","73786948$1.75%73.79m","621","5","68.07%","347,092.2",""
"27","Acupuncher","48111544$1.14%48.11m","652","7","58.12%","226,315.7",""
"23","Umbramist","44675387$1.06%44.68m","642","17","85.46%","210,152.1",""
"74","Chimes","24824483$0.59%24.82m","637","76","81.90%","116,773.8",""
"1","Shiversting","24504631$0.58%24.50m","637","0","11.78%","115,269.3",""
"33","Kratik","15262646$0.36%15.26m","640","34","66.33%","71,795.2",""
