"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"77","Rippermcgoo","784817670$9.87%784.82m","637","94","99.39%","1,599,370.8",""
"88","Toshunt","713759033$8.98%713.76m","650","65","99.38%","1,454,561.3",""
"66","Froginasock","675269151$8.49%675.27m","636","80","99.75%","1,376,123.2",""
"60","Jekter","618775558$7.78%618.78m","639","55","99.78%","1,260,995.5",""
"34","Litlam","554205743$6.97%554.21m","641","29","99.75%","1,129,409.5",""
"54","Chuckleduck","551544702$6.94%551.54m","637","57","99.52%","1,123,986.6",""
"31","Aingg","525610797$6.61%525.61m","639","25","99.61%","1,071,136.2",""
"39","Shiversting","460947399$5.80%460.95m","637","37","93.79%","939,359.4",""
"29","Thilinox","460629667$5.79%460.63m","643","20","99.70%","938,711.9",""
"13","Djbuttblastr","405660632$5.10%405.66m","638","11","99.68%","826,691.1",""
"17","Biglick","403168890$5.07%403.17m","640","15","96.91%","821,613.2",""
"7","Quarm","324929575$4.09%324.93m","637","5","99.02%","662,170.2",""
"39","Nixis","257236637$3.24%257.24m","648","21","97.53%","524,219.6",""
"4","Illing","212798388$2.68%212.80m","645","2","33.00%","433,659.4",""
"4","Ampok","193853544$2.44%193.85m","628","8","58.91%","395,051.9",""
"7","Therzdk","190810497$2.40%190.81m","628","17","99.78%","388,850.5",""
"4","Nitroburger","134982961$1.70%134.98m","638","3","26.43%","275,080.2",""
"42","Acupuncher","133609322$1.68%133.61m","652","16","83.21%","272,280.9",""
"3","Kusri","124874627$1.57%124.87m","636","3","22.22%","254,480.6",""
"17","Umbramist","94155748$1.18%94.16m","642","13","71.09%","191,878.9",""
"-","Giga Controls","59080217$0.74%59.08m","-","-","2.01%","120,398.9",""
"48","Chimes","36806452$0.46%36.81m","638","50","76.26%","75,007.4",""
"0","Rawbdog","25114986$0.32%25.11m","623","1","8.47%","51,181.5",""
"10","Kratik","6715573$0.08%6.72m","640","12","25.50%","13,685.6",""
