"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"85","Toshunt","510366980$8.55%510.37m","650","60","99.12%","1,431,251.1",""
"75","Froginasock","502155874$8.41%502.16m","636","88","99.78%","1,408,224.3",""
"58","Rippermcgoo","476408906$7.98%476.41m","637","72","99.38%","1,336,020.6",""
"37","Litlam","408918680$6.85%408.92m","641","33","96.64%","1,146,753.9",""
"58","Shiversting","374145861$6.26%374.15m","637","55","99.05%","1,049,238.5",""
"26","Aingg","357807232$5.99%357.81m","638","27","99.30%","1,003,419.2",""
"31","Thilinox","338415404$5.67%338.42m","643","19","99.56%","949,037.6",""
"27","Nitroburger","338202313$5.66%338.20m","638","28","98.98%","948,440.0",""
"20","Djbuttblastr","326064596$5.46%326.06m","638","16","99.80%","914,401.5",""
"33","Chuckleduck","323911752$5.42%323.91m","637","29","98.95%","908,364.1",""
"9","Jekter","275201532$4.61%275.20m","639","4","67.63%","771,763.3",""
"6","Kusri","235813648$3.95%235.81m","636","4","79.01%","661,305.6",""
"67","Nixis","219865972$3.68%219.87m","648","47","96.74%","616,582.6",""
"7","Ampok","218370889$3.66%218.37m","628","16","89.55%","612,389.9",""
"4","Biglick","175676274$2.94%175.68m","640","4","59.90%","492,659.0",""
"3","Quarm","170071966$2.85%170.07m","637","1","99.17%","476,942.5",""
"3","Illing","164473932$2.75%164.47m","645","2","35.55%","461,243.6",""
"87","Umbramist","163137495$2.73%163.14m","642","88","95.67%","457,495.8",""
"2","Rawbdog","129252067$2.16%129.25m","621","3","86.92%","362,468.9",""
"9","Therzdk","129209796$2.16%129.21m","628","18","95.06%","362,350.4",""
"43","Acupuncher","97463963$1.63%97.46m","652","18","77.72%","273,323.7",""
"49","Chimes","27574568$0.46%27.57m","637","51","75.00%","77,328.9",""
"16","Kratik","9531685$0.16%9.53m","640","18","40.59%","26,730.2",""
