"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"83","Illing","492912685$8.04%492.91m","645","77","99.31%","1,694,149.1",""
"81","Froginasock","473834855$7.73%473.83m","636","93","99.47%","1,628,578.3",""
"75","Rippermcgoo","473374975$7.72%473.37m","637","92","99.30%","1,626,997.7",""
"81","Toshunt","430549300$7.02%430.55m","650","45","99.34%","1,479,805.1",""
"67","Jekter","427557454$6.97%427.56m","639","60","99.08%","1,469,522.1",""
"39","Litlam","370401705$6.04%370.40m","641","30","99.56%","1,273,076.8",""
"67","Shiversting","353740414$5.77%353.74m","637","65","99.48%","1,215,811.7",""
"49","Thilinox","350344132$5.71%350.34m","643","36","99.68%","1,204,138.6",""
"47","Chuckleduck","330850473$5.40%330.85m","637","42","98.87%","1,137,138.6",""
"26","Aingg","324455704$5.29%324.46m","638","26","98.91%","1,115,159.7",""
"25","Nitroburger","299682870$4.89%299.68m","638","22","99.35%","1,030,015.0",""
"12","Kusri","263446290$4.30%263.45m","636","8","95.03%","905,469.3",""
"18","Biglick","262275821$4.28%262.28m","640","10","98.99%","901,446.4",""
"9","Djbuttblastr","259960831$4.24%259.96m","638","4","99.12%","893,489.7",""
"15","Ampok","254837005$4.16%254.84m","628","31","99.63%","875,879.0",""
"3","Quarm","168369288$2.75%168.37m","637","0","99.09%","578,688.0",""
"52","Nixis","167682959$2.74%167.68m","648","24","99.56%","576,329.1",""
"1","Rawbdog","110514849$1.80%110.51m","621","3","99.14%","379,841.4",""
"5","Therzdk","97635743$1.59%97.64m","628","12","99.52%","335,575.7",""
"47","Acupuncher","91927087$1.50%91.93m","652","20","82.36%","315,954.9",""
"33","Umbramist","78745650$1.28%78.75m","642","26","88.03%","270,650.1",""
"73","Chimes","39299685$0.64%39.30m","637","76","80.65%","135,073.7",""
"13","Kratik","7955952$0.13%7.96m","640","14","18.54%","27,344.7",""
