"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"95","Illing","375166496$8.48%375.17m","645","95","99.28%","1,525,042.3",""
"94","Toshunt","357829189$8.09%357.83m","650","73","98.73%","1,454,566.5",""
"79","Rippermcgoo","326484394$7.38%326.48m","639","83","91.99%","1,327,150.8",""
"85","Froginasock","325396584$7.36%325.40m","636","96","93.76%","1,322,728.8",""
"74","Jekter","303734304$6.87%303.73m","639","71","99.53%","1,234,672.2",""
"73","Chuckleduck","260755848$5.90%260.76m","637","79","91.81%","1,059,965.9",""
"52","Thilinox","250319938$5.66%250.32m","643","36","98.97%","1,017,544.2",""
"35","Litlam","244144757$5.52%244.14m","642","24","94.07%","992,442.2",""
"40","Aingg","236858124$5.36%236.86m","638","44","98.80%","962,822.2",""
"40","Biglick","220340726$4.98%220.34m","639","34","87.94%","895,679.4",""
"33","Shiversting","205645095$4.65%205.65m","637","31","93.96%","835,942.1",""
"35","Nitroburger","201249453$4.55%201.25m","638","33","90.27%","818,073.9",""
"23","Djbuttblastr","196532951$4.44%196.53m","638","19","99.00%","798,901.4",""
"21","Ampok","184092737$4.16%184.09m","625","42","99.93%","748,332.3",""
"15","Quarm","168472575$3.81%168.47m","636","14","98.67%","684,836.7",""
"8","Kusri","126114979$2.85%126.11m","635","16","44.91%","512,654.2",""
"58","Nixis","117717265$2.66%117.72m","648","33","85.10%","478,517.7",""
"4","Rawbdog","102449226$2.32%102.45m","621","9","91.39%","416,453.5",""
"14","Therzdk","77420753$1.75%77.42m","625","28","99.19%","314,713.4",""
"57","Acupuncher","64215094$1.45%64.22m","652","27","71.73%","261,032.7",""
"27","Umbramist","43662151$0.99%43.66m","642","21","61.69%","177,485.5",""
"48","Kratik","18090196$0.41%18.09m","640","49","41.98%","73,536.2",""
"54","Chimes","15847581$0.36%15.85m","637","55","59.96%","64,420.0",""
