"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"78","Illing","377448692$8.13%377.45m","645","64","99.60%","1,636,186.9",""
"74","Rippermcgoo","375108668$8.08%375.11m","637","91","99.26%","1,626,043.3",""
"86","Toshunt","361612305$7.79%361.61m","650","56","99.12%","1,567,538.4",""
"78","Froginasock","344720056$7.43%344.72m","636","90","99.72%","1,494,312.9",""
"51","Litlam","309325021$6.66%309.33m","641","47","99.54%","1,340,880.4",""
"65","Jekter","296085289$6.38%296.09m","639","57","99.64%","1,283,488.0",""
"59","Chuckleduck","273226472$5.89%273.23m","637","59","99.63%","1,184,398.3",""
"47","Biglick","260096139$5.60%260.10m","640","44","98.47%","1,127,480.1",""
"49","Thilinox","257185517$5.54%257.19m","643","34","99.33%","1,114,863.0",""
"41","Nitroburger","250976169$5.41%250.98m","638","41","99.17%","1,087,946.4",""
"43","Shiversting","239107168$5.15%239.11m","637","43","99.69%","1,036,495.9",""
"35","Djbuttblastr","237481302$5.12%237.48m","638","33","99.23%","1,029,448.0",""
"20","Kusri","212699583$4.58%212.70m","636","19","99.54%","922,022.7",""
"14","Ampok","155265950$3.35%155.27m","625","27","99.53%","673,056.0",""
"8","Quarm","145422668$3.13%145.42m","637","7","99.09%","630,386.8",""
"46","Nixis","107441791$2.31%107.44m","648","21","99.03%","465,745.0",""
"4","Rawbdog","103331074$2.23%103.33m","621","8","98.83%","447,925.7",""
"25","Therzdk","99503914$2.14%99.50m","628","49","99.86%","431,335.5",""
"59","Acupuncher","78079056$1.68%78.08m","652","24","91.44%","338,461.7",""
"2","Aingg","68008075$1.47%68.01m","638","1","29.76%","294,805.4",""
"28","Umbramist","54832075$1.18%54.83m","642","20","88.23%","237,689.3",""
"66","Chimes","22279009$0.48%22.28m","637","70","85.21%","96,576.4",""
"24","Kratik","11983253$0.26%11.98m","640","26","67.96%","51,945.7",""
