"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"87","Froginasock","651557395$8.06%651.56m","636","95","94.29%","1,980,953.5",""
"90","Illing","583045013$7.21%583.05m","645","86","99.59%","1,772,652.8",""
"75","Rippermcgoo","566039727$7.00%566.04m","637","87","99.24%","1,720,951.0",""
"95","Toshunt","565835866$7.00%565.84m","650","80","99.28%","1,720,331.2",""
"63","Thilinox","495606146$6.13%495.61m","643","56","99.51%","1,506,809.3",""
"54","Jekter","482721444$5.97%482.72m","639","54","99.40%","1,467,635.5",""
"39","Litlam","454594516$5.62%454.59m","642","28","87.69%","1,382,120.1",""
"68","Shiversting","451894347$5.59%451.89m","637","66","98.78%","1,373,910.7",""
"35","Nitroburger","429443665$5.31%429.44m","638","33","98.98%","1,305,653.1",""
"-","Rolling Rubbish","425259417$5.26%425.26m","-","-","9.25%","1,292,931.6",""
"44","Chuckleduck","387602623$4.79%387.60m","637","38","94.52%","1,178,442.3",""
"25","Aingg","380754501$4.71%380.75m","638","23","99.50%","1,157,621.7",""
"26","Biglick","363699365$4.50%363.70m","639","18","95.71%","1,105,768.3",""
"16","Djbuttblastr","326654980$4.04%326.65m","638","11","99.45%","993,140.9",""
"11","Quarm","300304955$3.71%300.30m","637","7","98.81%","913,028.0",""
"12","Kusri","298761732$3.69%298.76m","635","23","87.71%","908,336.1",""
"9","Ampok","262259775$3.24%262.26m","625","19","99.58%","797,357.9",""
"40","Nixis","184149341$2.28%184.15m","648","22","83.15%","559,875.9",""
"15","Therzdk","151632185$1.87%151.63m","625","26","99.33%","461,012.8",""
"48","Acupuncher","101047985$1.25%101.05m","652","19","58.72%","307,219.8",""
"47","Umbramist","99289297$1.23%99.29m","642","40","84.36%","301,872.8",""
"55","Chimes","54984957$0.68%54.98m","637","57","67.48%","167,172.8",""
"0","Rawbdog","54222049$0.67%54.22m","621","1","37.78%","164,853.3",""
"20","Kratik","13951954$0.17%13.95m","640","24","41.87%","42,418.6",""
"-","Environment","2188857$0.03%2.19m","-","-","0.00%","6,654.9",""
