"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"84","Froginasock","442777195$8.50%442.78m","636","95","99.58%","2,277,297.3",""
"96","Toshunt","439804372$8.44%439.80m","650","84","98.55%","2,262,007.5",""
"64","Rippermcgoo","393302516$7.55%393.30m","639","57","99.08%","2,022,838.5",""
"70","Illing","387091461$7.43%387.09m","645","50","99.48%","1,990,893.7",""
"48","Litlam","359019542$6.89%359.02m","642","37","95.54%","1,846,513.9",""
"59","Thilinox","313679630$6.02%313.68m","643","46","99.76%","1,613,321.1",""
"54","Jekter","308907030$5.93%308.91m","639","39","98.49%","1,588,774.6",""
"36","Aingg","299188041$5.74%299.19m","638","36","98.78%","1,538,787.7",""
"50","Chuckleduck","292098248$5.61%292.10m","637","44","94.97%","1,502,323.4",""
"-","Geargrinder Biker","280929936$5.39%280.93m","-","-","6.00%","1,444,882.4",""
"37","Djbuttblastr","272436258$5.23%272.44m","638","31","99.21%","1,401,197.6",""
"36","Biglick","269327780$5.17%269.33m","639","27","97.76%","1,385,210.1",""
"37","Shiversting","249329572$4.78%249.33m","637","21","97.35%","1,282,355.0",""
"9","Kusri","221010732$4.24%221.01m","635","19","98.30%","1,136,705.2",""
"8","Quarm","193271058$3.71%193.27m","636","4","98.95%","994,034.2",""
"67","Nixis","171774622$3.30%171.77m","648","42","99.13%","883,473.4",""
"20","Therzdk","132006376$2.53%132.01m","624","38","99.18%","678,936.9",""
"49","Acupuncher","78070992$1.50%78.07m","652","20","87.87%","401,535.7",""
"19","Umbramist","52260620$1.00%52.26m","642","12","82.63%","268,787.5",""
"74","Chimes","32160220$0.62%32.16m","637","77","66.81%","165,406.9",""
"38","Kratik","22211644$0.43%22.21m","640","41","74.36%","114,239.2",""
