"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"98","Toshunt","576368637$10.38%576.37m","661","84","98.47%","2,016,424.2",""
"89","Illing","574202847$10.34%574.20m","660","50","99.44%","2,008,847.2",""
"88","Froginasock","527413676$9.50%527.41m","661","50","99.55%","1,845,155.4",""
"75","Rippermcgoo","493949772$8.90%493.95m","657","43","97.67%","1,728,082.0",""
"47","Litlam","398053506$7.17%398.05m","659","22","99.55%","1,392,589.2",""
"44","Kamalabiden","379639098$6.84%379.64m","634","97","98.69%","1,328,166.4",""
"41","Aingg","373611758$6.73%373.61m","654","21","98.97%","1,307,079.8",""
"55","Therzsham","371527276$6.69%371.53m","644","80","99.26%","1,299,787.2",""
"39","Fyaball","365922077$6.59%365.92m","656","24","98.90%","1,280,177.4",""
"41","Nitroburger","361041130$6.50%361.04m","655","29","98.93%","1,263,101.5",""
"35","Biglick","313867248$5.65%313.87m","655","24","98.39%","1,098,063.7",""
"93","Nixis","272006356$4.90%272.01m","661","64","99.04%","951,613.5",""
"38","Kornbreadd","202553700$3.65%202.55m","651","30","99.39%","708,633.6",""
"4","Shiversting","96669365$1.74%96.67m","651","3","31.18%","338,197.5",""
"45","Umbramist","89384589$1.61%89.38m","658","24","93.03%","312,711.8",""
"35","Acupuncher","79743370$1.44%79.74m","663","2","85.55%","278,982.0",""
"-","Akaari's Soul","33483768$0.60%33.48m","-","-","0.00%","117,142.9",""
"85","Chimes","30986987$0.56%30.99m","656","82","68.56%","108,407.9",""
"23","Kratik","8999499$0.16%9.00m","659","23","39.58%","31,484.7",""
"0","Chuckleduck","2126654$0.04%2.13m","648","0","2.59%","7,440.1",""
"-","Bear","739525$0.01%739.5k","-","-","0.00%","2,587.2",""
