"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"99","Toshunt","770695173$11.23%770.70m","661","96","98.93%","2,168,230.0",""
"73","Litlam","675073588$9.84%675.07m","659","53","96.22%","1,899,213.6",""
"64","Froginasock","658297599$9.60%658.30m","660","41","90.04%","1,852,017.0",""
"68","Illing","636185129$9.27%636.19m","660","45","96.98%","1,789,807.1",""
"67","Rippermcgoo","624386203$9.10%624.39m","659","46","99.69%","1,756,612.6",""
"46","Fyaball","592887972$8.64%592.89m","656","42","99.26%","1,667,997.3",""
"22","Therzsham","479485659$6.99%479.49m","645","40","93.06%","1,348,957.7",""
"19","Chuckleduck","465753422$6.79%465.75m","648","27","89.96%","1,310,324.2",""
"25","Shiversting","417556507$6.09%417.56m","651","19","82.76%","1,174,729.7",""
"8","Biglick","333976148$4.87%333.98m","655","7","84.25%","939,589.5",""
"8","Kamalabiden","322612801$4.70%322.61m","637","26","84.11%","907,620.5",""
"77","Nixis","308154611$4.49%308.15m","661","45","98.95%","866,944.7",""
"9","Kornbreadd","228749073$3.33%228.75m","654","9","99.05%","643,549.6",""
"63","Umbramist","153655257$2.24%153.66m","658","53","97.23%","432,285.0",""
"54","Acupuncher","138235458$2.02%138.24m","663","20","94.47%","388,903.8",""
"43","Chimes","37646229$0.55%37.65m","656","38","53.04%","105,911.8",""
"37","Kratik","15703908$0.23%15.70m","659","32","28.02%","44,180.5",""
"-","Bear","967979$0.01%968.0k","-","-","0.00%","2,723.3",""
