"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"78","Illing","686097131$10.94%686.10m","660","39","99.53%","1,982,573.0",""
"74","Rippermcgoo","673845913$10.74%673.85m","657","53","99.46%","1,947,171.4",""
"48","Fyaball","511831784$8.16%511.83m","656","44","99.43%","1,479,009.0",""
"42","Biglick","506000516$8.07%506.00m","655","37","99.57%","1,462,158.8",""
"20","Aingg","469547341$7.49%469.55m","654","15","99.56%","1,356,822.3",""
"29","Toshunt","463084451$7.38%463.08m","661","8","82.20%","1,338,146.8",""
"13","Litlam","422912269$6.74%422.91m","659","6","75.10%","1,222,063.7",""
"18","Kamalabiden","384024282$6.12%384.02m","637","41","83.60%","1,109,691.5",""
"15","Nitroburger","371140917$5.92%371.14m","655","11","96.18%","1,072,463.2",""
"20","Therzsham","369481851$5.89%369.48m","644","30","92.89%","1,067,669.1",""
"10","Chuckleduck","348545187$5.56%348.55m","648","8","82.27%","1,007,169.7",""
"23","Shiversting","320136620$5.10%320.14m","651","18","83.72%","925,079.2",""
"82","Nixis","270033388$4.31%270.03m","661","47","99.71%","780,299.0",""
"24","Kornbreadd","225788925$3.60%225.79m","653","24","99.30%","652,448.5",""
"32","Umbramist","111572125$1.78%111.57m","658","20","81.20%","322,403.2",""
"16","Acupuncher","86971524$1.39%86.97m","663","0","70.02%","251,316.3",""
"70","Chimes","28064274$0.45%28.06m","656","70","59.62%","81,095.6",""
"47","Kratik","23404989$0.37%23.40m","659","42","53.28%","67,632.0",""
