"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"-","Rolling Rubbish","1546988566$12.82%1.55b","-","-","2.20%","3,805,414.6",""
"99","Toshunt","978634957$8.11%978.63m","661","98","99.44%","2,407,329.9",""
"57","Froginasock","850310332$7.05%850.31m","661","19","91.30%","2,091,666.0",""
"58","Aingg","834443673$6.92%834.44m","654","50","99.71%","2,052,635.8",""
"80","Illing","795443863$6.59%795.44m","660","39","99.53%","1,956,700.8",""
"52","Rippermcgoo","779628302$6.46%779.63m","657","29","92.74%","1,917,796.3",""
"43","Litlam","762694349$6.32%762.69m","659","22","92.20%","1,876,140.7",""
"29","Fyaball","706743886$5.86%706.74m","656","19","99.18%","1,738,509.0",""
"45","Shiversting","672376550$5.57%672.38m","651","40","90.83%","1,653,969.3",""
"30","Therzsham","663171076$5.50%663.17m","644","49","94.17%","1,631,324.9",""
"17","Nitroburger","627892481$5.20%627.89m","655","9","94.10%","1,544,543.6",""
"21","Biglick","586441214$4.86%586.44m","655","15","84.56%","1,442,578.2",""
"21","Chuckleduck","545175532$4.52%545.18m","648","23","95.38%","1,341,069.3",""
"92","Nixis","434904530$3.60%434.90m","661","75","96.95%","1,069,815.3",""
"63","Kornbreadd","432933339$3.59%432.93m","653","66","99.02%","1,064,966.4",""
"5","Kamalabiden","394059556$3.27%394.06m","635","44","66.57%","969,341.4",""
"59","Umbramist","191829261$1.59%191.83m","658","44","95.60%","471,878.0",""
"31","Acupuncher","139766692$1.16%139.77m","663","4","83.99%","343,810.0",""
"54","Chimes","92083216$0.76%92.08m","656","52","67.53%","226,514.2",""
"39","Kratik","28681086$0.24%28.68m","659","39","66.14%","70,552.2",""
"-","Environment","1534166$0.01%1.53m","-","-","0.00%","3,773.9",""
"-","Bear","417672$0.00%417.7k","-","-","0.00%","1,027.4",""
