"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"98","Toshunt","664816852$9.98%664.82m","661","86","99.00%","2,728,920.4",""
"80","Litlam","608967262$9.14%608.97m","659","55","94.70%","2,499,670.6",""
"83","Froginasock","593453017$8.91%593.45m","661","38","99.03%","2,435,988.2",""
"54","Umbramist","514940205$7.73%514.94m","653","43","98.43%","2,113,711.2",""
"54","Illing","494384852$7.42%494.38m","660","7","99.26%","2,029,336.2",""
"46","Aingg","486173012$7.30%486.17m","654","23","99.61%","1,995,628.5",""
"58","Biglick","453917003$6.81%453.92m","655","42","97.29%","1,863,225.0",""
"37","Nitroburger","443348721$6.65%443.35m","655","18","97.43%","1,819,844.6",""
"34","Fyaball","436745570$6.56%436.75m","656","14","98.78%","1,792,740.2",""
"40","Kamalabiden","422386291$6.34%422.39m","634","97","99.17%","1,733,798.6",""
"-","Geargrinder Biker","420891324$6.32%420.89m","-","-","2.89%","1,727,662.1",""
"34","Shiversting","403482369$6.06%403.48m","651","21","98.39%","1,656,202.4",""
"52","Kornbreadd","283010071$4.25%283.01m","651","43","97.08%","1,161,691.3",""
"80","Nixis","262237684$3.94%262.24m","661","34","99.39%","1,076,425.4",""
"45","Acupuncher","111464797$1.67%111.46m","663","8","92.85%","457,537.4",""
"72","Chimes","37634186$0.56%37.63m","656","70","59.58%","154,479.7",""
"38","Kratik","23893743$0.36%23.89m","659","40","57.25%","98,078.3",""
"-","Bear","509985$0.01%510.0k","-","-","0.00%","2,093.4",""
