"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"74","Thilinox","253432922$16.97%253.43m","49.60%","624","86","99.85%","947,264.1",""
"47","Kratik","222018290$14.87%222.02m","50.06%","635","62","99.42%","829,844.6",""
"33","Chimes","183782448$12.31%183.78m","42.66%","628","45","99.81%","686,929.3",""
"22","Acupuncher","171721856$11.50%171.72m","50.41%","625","36","99.73%","641,850.1",""
"21","Umbramist","168944141$11.31%168.94m","43.41%","627","34","99.83%","631,467.7",""
"2","Rawbdog","92673612$6.21%92.67m","51.09%","604","4","99.48%","346,389.0",""
"62","Nixis","67576440$4.53%67.58m","52.88%","628","64","98.94%","252,582.5",""
"50","Kornbreadd","65081018$4.36%65.08m","21.70%","623","54","99.51%","243,255.3",""
"47","Froginasock","31932753$2.14%31.93m","76.71%","632","58","99.50%","119,356.0",""
"49","Krrn","27684435$1.85%27.68m","27.97%","627","60","99.24%","103,477.0",""
"41","Quarm","26155822$1.75%26.16m","21.74%","625","55","99.80%","97,763.4",""
"53","Illing","22688486$1.52%22.69m","37.40%","628","63","99.18%","84,803.5",""
"53","Litlam","20318354$1.36%20.32m","37.78%","633","60","98.99%","75,944.5",""
"40","Chuckleduck","20312327$1.36%20.31m","28.47%","626","45","98.33%","75,922.0",""
"41","Kusri","18530183$1.24%18.53m","55.19%","624","51","86.03%","69,260.8",""
"19","Rippermcgoo","18185847$1.22%18.19m","50.31%","631","29","97.80%","67,973.8",""
"12","Nitroburger","16756476$1.12%16.76m","69.53%","631","19","99.21%","62,631.2",""
"24","Toshunt","15402453$1.03%15.40m","2.27%","634","31","98.87%","57,570.2",""
"77","Kamalabiden","12787909$0.86%12.79m","36.09%","619","77","98.56%","47,797.8",""
"58","Ampok","11312841$0.76%11.31m","9.93%","620","61","30.57%","42,284.4",""
"4","Biglick","8835980$0.59%8.84m","46.11%","633","9","42.50%","33,026.5",""
"12","Shiversting","7596049$0.51%7.60m","12.70%","622","16","13.02%","28,392.0",""
"32","Therzsham","7042377$0.47%7.04m","23.81%","627","35","98.54%","26,322.5",""
"3","Aingg","1664292$0.11%1.66m","-","623","5","0.00%","6,220.7",""
"1","Bababryn","735962$0.05%736.0k","89.83%","627","2","19.17%","2,750.8",""
