"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"87","Chimes","499843625$17.90%499.84m","32.53%","631","94","99.89%","1,400,581.2",""
"57","Kratik","446887770$16.00%446.89m","33.34%","635","74","99.92%","1,252,196.9",""
"42","Thilinox","358694683$12.84%358.69m","35.50%","626","58","99.84%","1,005,076.4",""
"18","Acupuncher","309117800$11.07%309.12m","29.66%","627","31","99.19%","866,160.1",""
"15","Umbramist","297952660$10.67%297.95m","37.33%","627","26","99.93%","834,874.9",""
"70","Nixis","128148483$4.59%128.15m","40.39%","628","75","99.47%","359,077.0",""
"36","Kornbreadd","81564186$2.92%81.56m","28.17%","629","44","91.70%","228,546.0",""
"56","Froginasock","57564338$2.06%57.56m","71.06%","632","65","99.57%","161,297.5",""
"39","Nitroburger","51519256$1.84%51.52m","57.66%","633","49","94.12%","144,359.0",""
"65","Jëongyeon","49986444$1.79%49.99m","15.53%","627","77","99.88%","140,064.0",""
"90","Litlam","44000174$1.58%44.00m","13.62%","633","93","99.57%","123,290.2",""
"48","Biglick","43523394$1.56%43.52m","21.01%","633","58","99.75%","121,954.2",""
"85","Illing","43171184$1.55%43.17m","29.34%","628","90","99.25%","120,967.3",""
"54","Rippermcgoo","43018820$1.54%43.02m","34.87%","631","64","93.90%","120,540.4",""
"73","Kusri","40995290$1.47%41.00m","37.07%","624","80","86.62%","114,870.4",""
"29","Krrn","38947207$1.39%38.95m","14.76%","628","39","99.25%","109,131.6",""
"99","Kamalabiden","38368115$1.37%38.37m","53.71%","622","99","99.45%","107,508.9",""
"68","Toshunt","36319717$1.30%36.32m","30.56%","634","75","99.00%","101,769.3",""
"21","Quarm","36270519$1.30%36.27m","0.77%","625","32","99.88%","101,631.4",""
"54","Bababryn","35448661$1.27%35.45m","29.45%","628","63","87.77%","99,328.5",""
"40","Shiversting","29464381$1.06%29.46m","9.29%","622","45","30.89%","82,560.3",""
"80","Rawbdog","23847655$0.85%23.85m","24.54%","601","84","54.00%","66,822.1",""
"16","Chuckleduck","23428256$0.84%23.43m","38.46%","626","19","97.48%","65,646.9",""
"77","Ampok","22792593$0.82%22.79m","10.98%","622","81","50.92%","63,865.7",""
"32","Therzsham","11869804$0.43%11.87m","10.91%","627","37","95.75%","33,259.7",""
