"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"66","Kratik","395577988$17.99%395.58m","42.23%","635","79","99.17%","1,081,751.1",""
"55","Chimes","330856076$15.05%330.86m","38.19%","628","67","98.76%","904,762.0",""
"63","Thilinox","327322912$14.89%327.32m","47.17%","624","77","99.93%","895,100.2",""
"32","Acupuncher","272824415$12.41%272.82m","47.28%","625","47","98.95%","746,068.1",""
"4","Rawbdog","180036665$8.19%180.04m","41.39%","604","7","98.63%","492,329.9",""
"7","Umbramist","172527368$7.85%172.53m","40.38%","627","13","96.24%","471,794.9",""
"82","Nixis","97917534$4.45%97.92m","40.96%","628","86","99.83%","267,766.2",""
"13","Kornbreadd","48451346$2.20%48.45m","38.79%","623","19","88.83%","132,495.5",""
"57","Quarm","39949986$1.82%39.95m","7.73%","625","70","97.93%","109,247.6",""
"45","Froginasock","36340156$1.65%36.34m","72.11%","632","58","87.32%","99,376.1",""
"49","Krrn","35699687$1.62%35.70m","34.82%","627","61","98.77%","97,624.7",""
"32","Biglick","31873080$1.45%31.87m","25.89%","633","44","98.56%","87,160.4",""
"79","Bababryn","31535590$1.43%31.54m","40.68%","627","84","98.74%","86,237.5",""
"75","Kusri","30010234$1.36%30.01m","45.98%","624","80","98.16%","82,066.3",""
"73","Litlam","26133229$1.19%26.13m","29.31%","633","78","98.35%","71,464.2",""
"72","Illing","26107757$1.19%26.11m","38.16%","628","78","89.92%","71,394.5",""
"17","Nitroburger","26016797$1.18%26.02m","69.14%","631","26","78.02%","71,145.8",""
"38","Toshunt","22325936$1.02%22.33m","39.32%","634","47","89.33%","61,052.7",""
"87","Kamalabiden","18641348$0.85%18.64m","55.91%","622","88","99.01%","50,976.8",""
"15","Shiversting","14351680$0.65%14.35m","17.07%","622","19","17.42%","39,246.2",""
"36","Ampok","10553137$0.48%10.55m","22.96%","620","40","41.08%","28,858.7",""
"19","Chuckleduck","10455613$0.48%10.46m","58.37%","626","27","73.19%","28,592.0",""
"2","Rippermcgoo","6782842$0.31%6.78m","53.34%","631","4","34.28%","18,548.4",""
"14","Therzsham","5125372$0.23%5.13m","37.06%","627","15","95.45%","14,015.9",""
"1","Aingg","1456414$0.07%1.46m","-","623","3","0.00%","3,982.7",""
