"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"55","Kratik","304796172$15.96%304.80m","36.16%","635","70","99.23%","1,238,787.3",""
"60","Chimes","279959444$14.66%279.96m","46.50%","627","72","99.25%","1,137,843.0",""
"45","Thilinox","246268990$12.90%246.27m","45.22%","624","59","99.81%","1,000,914.4",""
"24","Umbramist","231639703$12.13%231.64m","39.68%","627","39","99.31%","941,456.4",""
"17","Acupuncher","210675564$11.03%210.68m","41.58%","625","27","99.46%","856,251.6",""
"3","Rawbdog","149581008$7.83%149.58m","40.30%","604","4","99.13%","607,944.1",""
"52","Nixis","57822803$3.03%57.82m","46.84%","628","59","99.69%","235,010.0",""
"19","Kornbreadd","50013315$2.62%50.01m","28.79%","623","25","95.76%","203,269.8",""
"62","Froginasock","41661719$2.18%41.66m","68.89%","632","70","99.16%","169,326.3",""
"50","Rippermcgoo","31203451$1.63%31.20m","44.68%","631","63","98.31%","126,820.6",""
"46","Biglick","28944600$1.52%28.94m","19.31%","633","59","97.14%","117,639.9",""
"77","Litlam","27648599$1.45%27.65m","36.01%","633","82","98.33%","112,372.6",""
"4","Nitroburger","26437546$1.38%26.44m","66.15%","631","8","97.93%","107,450.5",""
"48","Illing","25394036$1.33%25.39m","20.52%","628","57","84.97%","103,209.3",""
"36","Jëongyeon","25170223$1.32%25.17m","15.43%","626","50","95.80%","102,299.7",""
"99","Kamalabiden","23987224$1.26%23.99m","35.42%","619","99","98.75%","97,491.6",""
"17","Krrn","23795834$1.25%23.80m","16.97%","627","26","97.53%","96,713.7",""
"63","Bababryn","23281581$1.22%23.28m","37.74%","627","71","97.49%","94,623.6",""
"56","Toshunt","23148658$1.21%23.15m","0.88%","634","61","88.67%","94,083.4",""
"9","Quarm","19829871$1.04%19.83m","1.02%","625","17","96.59%","80,594.8",""
"45","Chuckleduck","19314830$1.01%19.31m","22.13%","626","50","95.77%","78,501.5",""
"17","Kusri","14839226$0.78%14.84m","43.69%","624","23","97.99%","60,311.3",""
"53","Ampok","8873779$0.46%8.87m","5.62%","620","57","21.78%","36,065.8",""
"49","Therzsham","8300613$0.43%8.30m","21.51%","627","53","84.55%","33,736.3",""
"19","Shiversting","7108461$0.37%7.11m","16.26%","622","20","8.97%","28,891.0",""
