"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"75","Kratik","622961740$17.17%622.96m","26.17%","643","80","99.71%","1,462,674.3",""
"53","Umbramist","541900767$14.94%541.90m","26.84%","642","62","99.53%","1,272,348.3",""
"53","Chimes","531103402$14.64%531.10m","24.00%","638","65","99.63%","1,246,996.8",""
"39","Acupuncher","494760568$13.64%494.76m","26.96%","652","25","99.77%","1,161,666.1",""
"86","Therzdk","365284504$10.07%365.28m","16.19%","628","93","99.73%","857,664.6",""
"97","Nixis","202087451$5.57%202.09m","21.63%","648","97","99.90%","474,488.4",""
"74","Drazdh","96074052$2.65%96.07m","51.88%","642","80","99.71%","225,575.7",""
"49","Froginasock","82816496$2.28%82.82m","64.34%","636","64","98.03%","194,447.8",""
"55","Djbuttblastr","76234526$2.10%76.23m","9.61%","640","63","99.90%","178,993.8",""
"73","Biglick","70233504$1.94%70.23m","12.45%","642","78","99.40%","164,903.8",""
"84","Illing","66925133$1.85%66.93m","15.53%","645","86","98.70%","157,135.9",""
"32","Jëongyeon","63926637$1.76%63.93m","15.20%","644","35","99.80%","150,095.6",""
"69","Chuckleduck","63033130$1.74%63.03m","15.75%","637","78","99.42%","147,997.8",""
"49","Rippermcgoo","62564292$1.72%62.56m","22.07%","639","56","99.14%","146,896.9",""
"20","Nitroburger","58121693$1.60%58.12m","52.03%","638","30","82.07%","136,466.0",""
"86","Toshunt","57422258$1.58%57.42m","26.26%","650","80","97.34%","134,823.8",""
"68","Thilinox","39838207$1.10%39.84m","27.99%","644","74","34.13%","93,537.6",""
"8","Jekter","32353963$0.89%32.35m","24.58%","639","11","34.76%","75,965.0",""
"56","Rawbdog","29311684$0.81%29.31m","19.96%","623","70","35.38%","68,822.0",""
"16","Kusri","25326823$0.70%25.33m","24.98%","636","24","30.33%","59,465.8",""
"8","Litlam","17077056$0.47%17.08m","6.26%","641","10","53.99%","40,095.8",""
"16","Aingg","15884784$0.44%15.88m","6.86%","639","24","12.42%","37,296.5",""
"6","Shiversting","10632737$0.29%10.63m","19.60%","637","9","54.96%","24,965.0",""
"1","Ampok","1451492$0.04%1.45m","30.22%","628","2","0.00%","3,408.0",""
