"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"83","Chimes","216213185$16.88%216.21m","36.45%","637","85","99.69%","1,017,062.2",""
"76","Acupuncher","213763180$16.69%213.76m","42.77%","652","59","99.28%","1,005,537.4",""
"66","Umbramist","197265373$15.40%197.27m","41.99%","642","63","99.56%","927,932.1",""
"47","Kratik","177214065$13.84%177.21m","48.14%","640","46","99.56%","833,611.2",""
"80","Therzdk","125383361$9.79%125.38m","39.79%","625","85","99.80%","589,800.7",""
"76","Nixis","58765041$4.59%58.77m","42.17%","648","81","99.91%","276,429.5",""
"86","Jekter","32753459$2.56%32.75m","20.02%","639","87","99.93%","154,071.6",""
"92","Illing","26587193$2.08%26.59m","31.49%","645","93","99.42%","125,065.6",""
"51","Froginasock","26025993$2.03%26.03m","79.49%","636","57","99.63%","122,425.7",""
"52","Biglick","22437296$1.75%22.44m","20.84%","639","58","98.31%","105,544.6",""
"29","Nitroburger","21401199$1.67%21.40m","72.18%","638","35","98.85%","100,670.8",""
"66","Chuckleduck","20662519$1.61%20.66m","18.62%","637","71","98.46%","97,196.0",""
"70","Kusri","19236644$1.50%19.24m","34.60%","635","76","81.17%","90,488.8",""
"38","Rippermcgoo","18866224$1.47%18.87m","46.41%","639","40","99.37%","88,746.3",""
"55","Toshunt","17315584$1.35%17.32m","10.96%","650","53","98.47%","81,452.1",""
"17","Quarm","16151216$1.26%16.15m","21.78%","636","18","99.77%","75,975.0",""
"13","Djbuttblastr","15116974$1.18%15.12m","0.07%","638","14","99.91%","71,109.9",""
"63","Shiversting","14626824$1.14%14.63m","10.28%","637","66","10.13%","68,804.3",""
"75","Rawbdog","11393381$0.89%11.39m","36.77%","621","78","45.51%","53,594.2",""
"64","Ampok","9925855$0.78%9.93m","27.70%","625","67","49.56%","46,691.0",""
"42","Thilinox","7920434$0.62%7.92m","52.22%","643","50","23.85%","37,257.6",""
"13","Litlam","6334814$0.49%6.33m","40.14%","642","15","98.66%","29,798.8",""
"24","Aingg","5322783$0.42%5.32m","-","638","32","27.44%","25,038.3",""
