"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"87","Chimes","717233672$21.88%717.23m","32.20%","638","91","99.33%","1,461,642.2",""
"59","Acupuncher","557632977$17.01%557.63m","36.07%","652","27","99.63%","1,136,393.8",""
"25","Kratik","489282886$14.92%489.28m","40.57%","640","20","79.06%","997,103.9",""
"20","Umbramist","410090014$12.51%410.09m","45.27%","642","15","86.71%","835,717.7",""
"53","Therzdk","251507308$7.67%251.51m","39.65%","628","70","95.46%","512,543.8",""
"95","Nixis","183664768$5.60%183.66m","31.43%","648","95","99.84%","374,288.3",""
"85","Jekter","79981451$2.44%79.98m","12.09%","639","85","91.08%","162,993.3",""
"67","Froginasock","76974206$2.35%76.97m","68.58%","636","74","99.65%","156,864.8",""
"74","Rippermcgoo","67388654$2.06%67.39m","32.71%","637","80","98.65%","137,330.6",""
"42","Biglick","59752064$1.82%59.75m","31.18%","640","44","95.62%","121,768.0",""
"90","Toshunt","59097759$1.80%59.10m","35.66%","650","88","82.21%","120,434.6",""
"29","Quarm","54572573$1.66%54.57m","18.43%","637","30","89.66%","111,212.8",""
"46","Chuckleduck","52089270$1.59%52.09m","30.50%","637","50","93.06%","106,152.1",""
"23","Djbuttblastr","48415760$1.48%48.42m","16.23%","638","24","86.88%","98,665.9",""
"83","Thilinox","46064392$1.41%46.06m","23.97%","643","85","27.15%","93,874.1",""
"56","Litlam","27328427$0.83%27.33m","21.38%","641","58","99.40%","55,692.3",""
"14","Shiversting","23639271$0.72%23.64m","26.99%","637","14","75.62%","48,174.2",""
"29","Aingg","18951648$0.58%18.95m","15.24%","639","33","16.67%","38,621.3",""
"8","Illing","18842758$0.57%18.84m","17.23%","645","5","21.36%","38,399.4",""
"4","Nitroburger","15316111$0.47%15.32m","69.08%","638","4","25.07%","31,212.5",""
"13","Ampok","9361824$0.29%9.36m","23.64%","628","17","12.07%","19,078.4",""
"3","Kusri","7629209$0.23%7.63m","58.52%","636","3","22.43%","15,547.5",""
"2","Rawbdog","3610254$0.11%3.61m","14.77%","623","5","3.37%","7,357.3",""
