"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"85","Chimes","488585222$17.85%488.59m","32.63%","637","87","99.81%","1,370,167.3",""
"61","Kratik","455932868$16.66%455.93m","32.31%","640","59","99.89%","1,278,598.5",""
"69","Acupuncher","443164856$16.19%443.16m","28.50%","652","51","99.13%","1,242,792.4",""
"64","Umbramist","429989777$15.71%429.99m","28.30%","642","62","98.88%","1,205,844.8",""
"98","Nixis","187169816$6.84%187.17m","24.72%","648","98","99.89%","524,891.0",""
"26","Therzdk","163165283$5.96%163.17m","37.80%","628","34","94.21%","457,573.7",""
"75","Froginasock","64825884$2.37%64.83m","69.93%","636","78","99.58%","181,794.9",""
"81","Rippermcgoo","53169358$1.94%53.17m","32.35%","637","83","99.18%","149,105.9",""
"23","Nitroburger","44846899$1.64%44.85m","66.27%","638","25","98.94%","125,766.7",""
"43","Quarm","43503444$1.59%43.50m","13.23%","637","45","99.92%","121,999.2",""
"93","Thilinox","39906238$1.46%39.91m","25.73%","643","95","31.06%","111,911.3",""
"78","Toshunt","39546763$1.44%39.55m","15.82%","650","79","98.95%","110,903.2",""
"55","Shiversting","34418870$1.26%34.42m","6.78%","637","55","98.72%","96,522.8",""
"16","Djbuttblastr","34143977$1.25%34.14m","0.79%","638","16","97.28%","95,751.9",""
"43","Kusri","32577635$1.19%32.58m","35.72%","636","45","52.21%","91,359.3",""
"11","Jekter","32057562$1.17%32.06m","9.57%","639","9","61.41%","89,900.8",""
"84","Litlam","30288098$1.11%30.29m","14.18%","641","85","99.40%","84,938.6",""
"28","Chuckleduck","28966797$1.06%28.97m","20.25%","637","32","98.95%","81,233.2",""
"6","Biglick","27999262$1.02%28.00m","20.01%","640","7","61.42%","78,519.9",""
"86","Rawbdog","26417080$0.97%26.42m","23.98%","621","89","54.30%","74,082.9",""
"70","Aingg","20663208$0.75%20.66m","0.42%","638","74","21.30%","57,947.0",""
"26","Ampok","10407231$0.38%10.41m","17.19%","628","30","13.02%","29,185.6",""
"2","Illing","5277274$0.19%5.28m","45.57%","645","1","29.47%","14,799.4",""
