"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"78","Chimes","331223168$18.54%331.22m","50.51%","637","82","99.36%","1,138,419.5",""
"56","Kratik","306767079$17.17%306.77m","57.24%","640","55","99.48%","1,054,363.6",""
"61","Umbramist","303916608$17.01%303.92m","52.16%","642","58","99.59%","1,044,566.4",""
"49","Acupuncher","281128363$15.73%281.13m","44.43%","652","25","99.64%","966,242.9",""
"28","Therzdk","107697397$6.03%107.70m","48.40%","628","37","96.95%","370,157.7",""
"81","Nixis","81882809$4.58%81.88m","37.83%","648","84","99.70%","281,432.6",""
"77","Froginasock","38042882$2.13%38.04m","71.51%","636","81","99.31%","130,754.0",""
"92","Jekter","37752344$2.11%37.75m","16.95%","639","93","93.43%","129,755.4",""
"73","Djbuttblastr","30394162$1.70%30.39m","13.81%","638","76","92.61%","104,465.2",""
"80","Kusri","26913727$1.51%26.91m","43.62%","636","83","79.72%","92,502.9",""
"29","Nitroburger","26817710$1.50%26.82m","71.71%","638","35","99.03%","92,172.9",""
"34","Biglick","26472865$1.48%26.47m","40.15%","640","39","97.76%","90,987.7",""
"43","Rippermcgoo","24317269$1.36%24.32m","54.63%","637","48","97.24%","83,578.9",""
"62","Toshunt","23031010$1.29%23.03m","20.93%","650","60","71.23%","79,158.0",""
"73","Illing","22286366$1.25%22.29m","26.06%","645","76","88.86%","76,598.6",""
"73","Thilinox","19389014$1.09%19.39m","28.90%","643","77","28.75%","66,640.4",""
"44","Chuckleduck","18267399$1.02%18.27m","43.10%","637","51","93.36%","62,785.4",""
"90","Rawbdog","17942276$1.00%17.94m","47.11%","621","91","54.93%","61,667.9",""
"6","Quarm","17052970$0.95%17.05m","1.43%","637","6","97.42%","58,611.3",""
"41","Shiversting","14566999$0.82%14.57m","32.62%","637","43","51.71%","50,067.0",""
"54","Litlam","11163625$0.62%11.16m","34.62%","641","60","99.05%","38,369.6",""
"65","Ampok","10446316$0.58%10.45m","36.98%","628","65","42.68%","35,904.2",""
"48","Aingg","9421734$0.53%9.42m","23.84%","638","54","22.04%","32,382.7",""
