"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"91","Chimes","310410082$19.56%310.41m","33.06%","637","94","99.11%","1,261,809.1",""
"81","Kratik","299229449$18.85%299.23m","40.23%","640","81","98.45%","1,216,360.1",""
"85","Acupuncher","283354253$17.85%283.35m","39.07%","652","70","99.83%","1,151,827.8",""
"62","Umbramist","232507983$14.65%232.51m","42.44%","642","60","99.17%","945,139.0",""
"32","Therzdk","84007912$5.29%84.01m","47.55%","625","44","95.52%","341,490.0",""
"71","Nixis","58372867$3.68%58.37m","46.46%","648","76","99.71%","237,284.2",""
"80","Jekter","32112686$2.02%32.11m","11.09%","639","81","97.75%","130,537.3",""
"86","Biglick","31289872$1.97%31.29m","26.04%","639","89","98.42%","127,192.5",""
"73","Froginasock","30500334$1.92%30.50m","75.79%","636","77","93.41%","123,983.1",""
"66","Quarm","28667359$1.81%28.67m","5.76%","636","68","93.48%","116,532.1",""
"46","Nitroburger","24684036$1.56%24.68m","66.84%","638","51","90.50%","100,340.0",""
"91","Illing","22810888$1.44%22.81m","27.88%","645","92","96.03%","92,725.7",""
"33","Djbuttblastr","22457469$1.41%22.46m","0.80%","638","35","93.42%","91,289.0",""
"62","Rippermcgoo","20189969$1.27%20.19m","52.26%","639","65","93.48%","82,071.7",""
"52","Toshunt","16965435$1.07%16.97m","8.12%","650","48","88.11%","68,964.1",""
"85","Rawbdog","16253663$1.02%16.25m","38.87%","621","89","66.31%","66,070.7",""
"74","Ampok","13403394$0.84%13.40m","20.41%","625","77","46.74%","54,484.5",""
"54","Litlam","11209126$0.71%11.21m","35.10%","642","59","94.60%","45,564.8",""
"49","Chuckleduck","10626611$0.67%10.63m","57.43%","637","53","91.25%","43,196.9",""
"51","Aingg","9726662$0.61%9.73m","28.46%","638","59","35.26%","39,538.6",""
"16","Kusri","9709688$0.61%9.71m","53.95%","635","22","44.84%","39,469.6",""
"26","Shiversting","9572794$0.60%9.57m","31.51%","637","28","90.79%","38,913.2",""
"49","Thilinox","9081082$0.57%9.08m","48.04%","643","56","27.26%","36,914.4",""
