"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"73","Kratik","229879679$19.39%229.88m","61.23%","640","71","98.46%","996,496.0",""
"86","Chimes","223332239$18.84%223.33m","52.70%","637","87","99.44%","968,113.8",""
"42","Acupuncher","172338708$14.54%172.34m","50.44%","652","25","99.21%","747,064.0",""
"38","Umbramist","167001198$14.09%167.00m","61.88%","642","35","99.46%","723,926.7",""
"52","Therzdk","95966335$8.10%95.97m","47.65%","628","60","96.00%","416,000.6",""
"38","Nixis","46783657$3.95%46.78m","50.89%","648","59","99.73%","202,800.6",""
"66","Froginasock","25553078$2.16%25.55m","79.88%","636","69","99.27%","110,769.0",""
"66","Quarm","23381385$1.97%23.38m","8.28%","637","66","91.96%","101,355.0",""
"53","Jekter","21311518$1.80%21.31m","17.31%","639","53","84.30%","92,382.4",""
"39","Biglick","20923161$1.77%20.92m","48.90%","640","41","98.40%","90,699.0",""
"80","Illing","18652395$1.57%18.65m","31.52%","645","82","73.76%","80,855.5",""
"20","Djbuttblastr","16240104$1.37%16.24m","21.08%","638","21","86.37%","70,398.6",""
"86","Thilinox","16230883$1.37%16.23m","41.37%","643","90","32.94%","70,358.6",""
"34","Rippermcgoo","15580903$1.31%15.58m","65.18%","637","38","97.66%","67,541.0",""
"50","Toshunt","15237493$1.29%15.24m","3.25%","650","49","80.13%","66,052.4",""
"94","Rawbdog","15073996$1.27%15.07m","42.09%","621","95","60.88%","65,343.7",""
"10","Nitroburger","13905843$1.17%13.91m","83.57%","638","11","98.91%","60,279.9",""
"42","Chuckleduck","10961488$0.92%10.96m","55.58%","637","46","93.59%","47,516.5",""
"81","Ampok","10878298$0.92%10.88m","26.28%","625","82","47.42%","47,155.9",""
"27","Kusri","10024170$0.85%10.02m","67.30%","636","31","65.39%","43,453.4",""
"24","Shiversting","8111206$0.68%8.11m","35.29%","637","26","83.63%","35,160.9",""
"23","Litlam","5568742$0.47%5.57m","50.17%","641","26","98.83%","24,139.7",""
"9","Aingg","2480633$0.21%2.48m","14.66%","638","14","0.00%","10,753.2",""
