"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"93","Kratik","525217890$18.80%525.22m","33.32%","640","92","97.90%","1,596,838.9",""
"95","Chimes","515597446$18.45%515.60m","37.61%","637","96","99.14%","1,567,589.5",""
"89","Umbramist","470558385$16.84%470.56m","35.44%","642","90","99.67%","1,430,655.7",""
"80","Acupuncher","424177252$15.18%424.18m","34.19%","652","60","99.69%","1,289,641.4",""
"48","Therzdk","158860029$5.69%158.86m","37.24%","625","51","97.14%","482,987.9",""
"95","Nixis","144113091$5.16%144.11m","24.80%","648","97","96.42%","438,152.2",""
"80","Froginasock","70127377$2.51%70.13m","65.54%","636","81","94.91%","213,210.8",""
"97","Illing","54114653$1.94%54.11m","17.25%","645","97","95.60%","164,526.7",""
"39","Nitroburger","52438655$1.88%52.44m","59.66%","638","42","98.77%","159,431.1",""
"83","Rippermcgoo","50429436$1.80%50.43m","30.16%","637","85","91.32%","153,322.4",""
"65","Biglick","45853730$1.64%45.85m","10.97%","639","67","97.20%","139,410.8",""
"91","Jekter","44694759$1.60%44.69m","10.93%","639","90","92.99%","135,887.1",""
"66","Djbuttblastr","38654235$1.38%38.65m","10.66%","638","66","92.58%","117,521.9",""
"72","Toshunt","35077315$1.26%35.08m","17.74%","650","73","95.75%","106,646.8",""
"50","Quarm","34262344$1.23%34.26m","1.75%","637","50","98.89%","104,169.0",""
"82","Litlam","26820859$0.96%26.82m","21.36%","642","84","99.12%","81,544.4",""
"34","Kusri","26222501$0.94%26.22m","41.14%","635","46","60.88%","79,725.2",""
"16","Chuckleduck","20636405$0.74%20.64m","42.51%","637","17","90.12%","62,741.6",""
"62","Thilinox","20057031$0.72%20.06m","28.90%","643","68","21.34%","60,980.1",""
"34","Shiversting","18603337$0.67%18.60m","23.45%","637","35","93.46%","56,560.4",""
"32","Ampok","9099704$0.33%9.10m","26.27%","625","35","15.56%","27,666.2",""
"9","Rawbdog","7065519$0.25%7.07m","24.97%","621","15","11.17%","21,481.6",""
"0","Aingg","1491662$0.05%1.49m","-","638","1","0.00%","4,535.2",""
