"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"90","Chimes","612922710$18.00%612.92m","30.93%","638","94","99.28%","1,832,190.6",""
"75","Kratik","589742359$17.32%589.74m","27.50%","643","78","99.31%","1,762,898.3",""
"68","Acupuncher","560647121$16.46%560.65m","25.19%","652","51","99.95%","1,675,924.8",""
"53","Umbramist","517607967$15.20%517.61m","30.77%","642","60","99.43%","1,547,269.2",""
"90","Therzdk","273257367$8.02%273.26m","27.50%","628","96","94.36%","816,839.6",""
"97","Nixis","162609217$4.77%162.61m","26.03%","648","97","99.72%","486,082.6",""
"59","Froginasock","78931341$2.32%78.93m","64.22%","636","67","99.36%","235,947.0",""
"95","Jekter","71533073$2.10%71.53m","9.55%","639","96","97.11%","213,831.6",""
"22","Nitroburger","65600187$1.93%65.60m","53.31%","638","28","99.14%","196,096.6",""
"92","Illing","64144057$1.88%64.14m","16.92%","645","92","97.18%","191,743.8",""
"60","Rippermcgoo","59634514$1.75%59.63m","27.14%","637","67","98.11%","178,263.6",""
"66","Biglick","53637997$1.57%53.64m","19.92%","640","73","98.65%","160,338.4",""
"36","Jëongyeon","45202397$1.33%45.20m","5.03%","644","41","97.76%","135,122.1",""
"54","Kusri","38756923$1.14%38.76m","34.86%","636","60","85.75%","115,854.9",""
"46","Chuckleduck","38694587$1.14%38.69m","11.84%","637","54","97.07%","115,668.5",""
"47","Toshunt","36412133$1.07%36.41m","1.91%","650","47","88.64%","108,845.6",""
"73","Thilinox","35266302$1.04%35.27m","28.85%","644","76","30.94%","105,420.4",""
"89","Rawbdog","29191199$0.86%29.19m","19.51%","623","91","69.30%","87,260.3",""
"33","Litlam","22615331$0.66%22.62m","22.08%","641","38","98.77%","67,603.3",""
"48","Aingg","16550292$0.49%16.55m","-","639","56","23.42%","49,473.3",""
"12","Shiversting","14103906$0.41%14.10m","29.86%","637","12","90.50%","42,160.4",""
"37","Ampok","14094665$0.41%14.09m","13.02%","628","37","16.16%","42,132.7",""
"0","Djbuttblastr","4601266$0.14%4.60m","-","640","0","11.87%","13,754.4",""
