"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"65","Chimes","228087650$19.06%228.09m","48.17%","637","68","96.99%","1,173,103.3",""
"32","Kratik","207037322$17.30%207.04m","46.94%","640","27","98.69%","1,064,837.0",""
"37","Acupuncher","203649699$17.02%203.65m","46.37%","652","15","99.85%","1,047,413.7",""
"35","Umbramist","199743681$16.69%199.74m","52.63%","642","27","99.25%","1,027,324.2",""
"95","Nixis","77009410$6.44%77.01m","38.02%","648","95","99.67%","396,075.8",""
"15","Therzdk","68773737$5.75%68.77m","50.56%","624","20","94.89%","353,718.0",""
"47","Froginasock","30691466$2.57%30.69m","75.29%","636","53","99.26%","157,852.7",""
"84","Jekter","28329553$2.37%28.33m","8.79%","639","85","97.59%","145,704.9",""
"27","Biglick","20467802$1.71%20.47m","21.51%","639","28","97.34%","105,270.3",""
"15","Rippermcgoo","18233514$1.52%18.23m","52.91%","639","13","97.56%","93,778.8",""
"50","Toshunt","17451037$1.46%17.45m","8.70%","650","46","94.74%","89,754.4",""
"17","Illing","15288271$1.28%15.29m","33.13%","645","16","94.55%","78,630.8",""
"6","Djbuttblastr","14730631$1.23%14.73m","0.06%","638","4","88.75%","75,762.8",""
"38","Chuckleduck","14232165$1.19%14.23m","26.09%","637","44","93.02%","73,199.1",""
"4","Quarm","14049158$1.17%14.05m","1.10%","636","3","98.20%","72,257.8",""
"67","Thilinox","12553011$1.05%12.55m","43.30%","643","71","28.54%","64,562.8",""
"27","Litlam","9513928$0.80%9.51m","29.07%","642","29","98.81%","48,932.2",""
"4","Kusri","8224707$0.69%8.22m","55.02%","635","7","48.83%","42,301.4",""
"14","Shiversting","4739893$0.40%4.74m","40.77%","637","13","76.02%","24,378.3",""
"20","Aingg","3638548$0.30%3.64m","2.32%","638","26","3.16%","18,713.8",""
