"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"82","Chimes","441088350$20.59%441.09m","29.39%","656","76","99.27%","1,543,146.4",""
"76","Kratik","438040919$20.45%438.04m","38.52%","659","63","99.70%","1,532,485.0",""
"70","Umbramist","423226063$19.75%423.23m","35.24%","658","53","99.44%","1,480,655.3",""
"37","Acupuncher","341411983$15.94%341.41m","34.33%","663","9","99.40%","1,194,428.9",""
"82","Nixis","114341056$5.34%114.34m","32.93%","661","86","99.70%","400,021.9",""
"39","Kornbreadd","88628516$4.14%88.63m","22.88%","651","44","99.57%","310,066.6",""
"80","Froginasock","68802901$3.21%68.80m","67.78%","661","78","99.36%","240,706.8",""
"26","Nitroburger","46325681$2.16%46.33m","65.21%","655","27","99.00%","162,070.3",""
"60","Biglick","44761546$2.09%44.76m","17.38%","655","63","98.91%","156,598.2",""
"64","Illing","39504732$1.84%39.50m","28.71%","660","64","99.26%","138,207.2",""
"21","Rippermcgoo","31687659$1.48%31.69m","29.89%","657","19","97.34%","110,859.2",""
"19","Litlam","15463567$0.72%15.46m","41.20%","659","34","99.43%","54,099.2",""
"30","Aingg","15338420$0.72%15.34m","25.61%","654","41","33.63%","53,661.4",""
"31","Kamalabiden","11517770$0.54%11.52m","7.21%","634","49","98.72%","40,294.9",""
"6","Shiversting","9174436$0.43%9.17m","5.46%","651","7","31.22%","32,096.7",""
"7","Therzsham","5759188$0.27%5.76m","28.55%","644","7","92.91%","20,148.5",""
"1","Fyaball","3290741$0.15%3.29m","-","656","2","5.30%","11,512.6",""
"0","Chuckleduck","2269063$0.11%2.27m","27.22%","648","0","2.56%","7,938.3",""
"1","Toshunt","1811795$0.08%1.81m","1.31%","661","0","99.01%","6,338.6",""
