"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"82","Chimes","670744874$20.43%670.74m","29.53%","656","77","99.58%","1,887,035.5",""
"66","Umbramist","670269207$20.41%670.27m","24.52%","658","55","97.94%","1,885,697.3",""
"52","Kratik","620491306$18.90%620.49m","32.05%","659","37","94.21%","1,745,654.9",""
"44","Acupuncher","595673351$18.14%595.67m","23.17%","663","12","98.79%","1,675,833.5",""
"90","Nixis","174726509$5.32%174.73m","31.91%","661","84","94.85%","491,565.6",""
"84","Kornbreadd","133313352$4.06%133.31m","13.61%","654","85","92.13%","375,056.2",""
"81","Froginasock","82063262$2.50%82.06m","61.14%","660","78","87.49%","230,872.1",""
"95","Litlam","46430346$1.41%46.43m","11.73%","659","95","98.34%","130,624.5",""
"38","Rippermcgoo","45243818$1.38%45.24m","38.42%","659","31","95.68%","127,286.4",""
"20","Biglick","44966372$1.37%44.97m","12.70%","655","17","81.03%","126,505.8",""
"50","Chuckleduck","42549044$1.30%42.55m","20.51%","648","53","85.76%","119,705.1",""
"68","Illing","41011472$1.25%41.01m","11.70%","660","64","89.62%","115,379.3",""
"46","Shiversting","32936119$1.00%32.94m","16.54%","651","36","67.09%","92,660.6",""
"28","Toshunt","29640482$0.90%29.64m","42.91%","661","28","78.19%","83,388.8",""
"85","Kamalabiden","25846211$0.79%25.85m","61.55%","637","90","71.23%","72,714.3",""
"52","Therzsham","16843350$0.51%16.84m","24.56%","645","49","81.80%","47,386.1",""
"22","Fyaball","10621450$0.32%10.62m","27.72%","656","20","5.13%","29,881.8",""
