"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"84","Chimes","498233216$20.54%498.23m","25.76%","656","77","99.86%","1,841,625.0",""
"66","Kratik","471916248$19.45%471.92m","34.45%","659","50","98.13%","1,744,349.3",""
"80","Acupuncher","468878606$19.33%468.88m","27.30%","663","26","99.27%","1,733,121.2",""
"55","Umbramist","402870748$16.61%402.87m","37.46%","658","36","99.15%","1,489,135.6",""
"84","Kornbreadd","100046750$4.12%100.05m","20.57%","651","86","98.83%","369,803.9",""
"72","Nixis","94152528$3.88%94.15m","38.12%","661","75","99.97%","348,017.0",""
"89","Nitroburger","66195390$2.73%66.20m","47.10%","655","90","86.59%","244,678.8",""
"82","Froginasock","62586448$2.58%62.59m","62.17%","661","75","88.15%","231,339.0",""
"69","Biglick","45598379$1.88%45.60m","19.75%","655","71","98.32%","168,545.8",""
"66","Shiversting","36246505$1.49%36.25m","9.07%","651","66","84.74%","133,978.4",""
"47","Rippermcgoo","32560419$1.34%32.56m","31.39%","657","51","89.79%","120,353.4",""
"67","Illing","29436665$1.21%29.44m","14.27%","660","65","93.88%","108,807.1",""
"68","Litlam","22839234$0.94%22.84m","19.95%","659","75","95.56%","84,420.9",""
"41","Chuckleduck","20942316$0.86%20.94m","40.71%","648","46","91.35%","77,409.3",""
"10","Toshunt","17085462$0.70%17.09m","49.07%","661","11","89.71%","63,153.2",""
"44","Therzsham","16837214$0.69%16.84m","17.47%","644","48","95.99%","62,235.6",""
"55","Kamalabiden","15525240$0.64%15.53m","40.25%","634","76","92.36%","57,386.1",""
"10","Fyaball","12413636$0.51%12.41m","12.41%","656","16","5.25%","45,884.7",""
"14","Aingg","11541847$0.48%11.54m","-","654","20","12.17%","42,662.3",""
