"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"75","Kratik","657507154$24.67%657.51m","31.72%","659","63","99.27%","1,899,958.3",""
"19","Umbramist","467119058$17.53%467.12m","30.19%","658","12","85.49%","1,349,805.4",""
"16","Acupuncher","446442293$16.75%446.44m","27.16%","663","3","73.13%","1,290,057.0",""
"21","Chimes","440977984$16.55%440.98m","40.20%","656","18","80.29%","1,274,267.1",""
"68","Nixis","149552984$5.61%149.55m","32.00%","661","70","99.73%","432,154.1",""
"77","Kornbreadd","127329454$4.78%127.33m","20.83%","653","80","95.63%","367,936.1",""
"85","Biglick","65938453$2.47%65.94m","17.99%","655","85","97.54%","190,538.3",""
"22","Nitroburger","61464312$2.31%61.46m","54.89%","655","26","91.53%","177,609.7",""
"56","Rippermcgoo","56296926$2.11%56.30m","36.26%","657","58","98.91%","162,677.8",""
"72","Illing","45298954$1.70%45.30m","16.72%","660","77","78.82%","130,897.6",""
"20","Chuckleduck","30546533$1.15%30.55m","32.26%","648","22","68.50%","88,268.5",""
"24","Shiversting","25148951$0.94%25.15m","22.06%","651","20","65.89%","72,671.4",""
"12","Toshunt","19518730$0.73%19.52m","43.58%","661","8","62.86%","56,402.1",""
"39","Aingg","18706105$0.70%18.71m","-","654","47","12.03%","54,053.9",""
"49","Kamalabiden","15194027$0.57%15.19m","69.05%","637","58","64.45%","43,905.3",""
"30","Therzsham","14673519$0.55%14.67m","3.07%","644","31","55.30%","42,401.2",""
"9","Litlam","12967115$0.49%12.97m","37.53%","659","14","70.74%","37,470.3",""
"11","Fyaball","10332424$0.39%10.33m","1.51%","656","12","10.60%","29,857.0",""
