"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"87","Chimes","753330709$20.64%753.33m","35.28%","656","83","98.87%","1,853,107.2",""
"77","Kratik","716868171$19.64%716.87m","39.51%","659","63","99.75%","1,763,413.6",""
"69","Umbramist","702641734$19.25%702.64m","30.26%","658","52","99.30%","1,728,418.2",""
"47","Acupuncher","620217371$16.99%620.22m","30.06%","663","10","99.70%","1,525,663.7",""
"87","Nixis","186166583$5.10%186.17m","34.17%","661","85","99.84%","457,948.5",""
"51","Kornbreadd","142333031$3.90%142.33m","18.40%","653","54","99.14%","350,122.9",""
"73","Froginasock","108715488$2.98%108.72m","57.82%","661","63","91.40%","267,427.6",""
"17","Nitroburger","75038966$2.06%75.04m","61.54%","655","16","94.01%","184,587.3",""
"50","Rippermcgoo","57718023$1.58%57.72m","33.68%","657","48","92.31%","141,979.7",""
"16","Biglick","51935614$1.42%51.94m","20.75%","655","15","95.47%","127,755.7",""
"45","Illing","46878881$1.28%46.88m","16.80%","660","40","96.92%","115,316.7",""
"21","Chuckleduck","40366629$1.11%40.37m","15.97%","648","23","90.58%","99,297.3",""
"57","Litlam","32649404$0.89%32.65m","23.90%","659","63","99.01%","80,313.8",""
"26","Shiversting","29215847$0.80%29.22m","16.53%","651","30","82.62%","71,867.6",""
"48","Therzsham","21265530$0.58%21.27m","14.58%","644","51","85.89%","52,310.8",""
"23","Aingg","20763990$0.57%20.76m","6.39%","654","26","23.05%","51,077.0",""
"6","Toshunt","20587385$0.56%20.59m","63.23%","661","3","96.26%","50,642.6",""
"33","Kamalabiden","15384926$0.42%15.38m","69.09%","635","57","55.95%","37,845.2",""
"5","Fyaball","7387891$0.20%7.39m","6.52%","656","6","8.13%","18,173.4",""
