"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"86","Chimes","445774463$25.80%445.77m","42.16%","656","82","99.58%","1,829,801.7",""
"72","Acupuncher","438334888$25.37%438.33m","33.85%","663","32","99.21%","1,799,264.0",""
"52","Kratik","393682567$22.79%393.68m","37.50%","659","39","99.62%","1,615,976.5",""
"73","Nixis","88233740$5.11%88.23m","39.60%","661","78","99.95%","362,179.2",""
"56","Kornbreadd","85208996$4.93%85.21m","27.62%","651","60","94.88%","349,763.3",""
"73","Froginasock","61319649$3.55%61.32m","68.02%","661","83","98.92%","251,703.1",""
"24","Nitroburger","48251086$2.79%48.25m","60.25%","655","33","97.70%","198,059.6",""
"76","Biglick","42152080$2.44%42.15m","17.11%","655","79","98.85%","173,024.6",""
"37","Illing","30810411$1.78%30.81m","18.79%","660","47","85.85%","126,469.7",""
"23","Umbramist","22109448$1.28%22.11m","41.18%","653","32","78.17%","90,754.2",""
"63","Litlam","21827835$1.26%21.83m","20.09%","659","77","99.54%","89,598.2",""
"48","Shiversting","21591601$1.25%21.59m","20.88%","651","56","86.26%","88,628.6",""
"3","Toshunt","9893997$0.57%9.89m","62.71%","661","3","84.01%","40,612.6",""
"39","Kamalabiden","9171156$0.53%9.17m","28.84%","634","43","92.80%","37,645.5",""
"10","Aingg","6313666$0.37%6.31m","-","654","17","19.70%","25,916.1",""
"6","Fyaball","2867731$0.17%2.87m","-","656","12","1.94%","11,771.4",""
