"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"57","Chimes","366099030$17.07%366.10m","46.39%","631","71","98.28%","977,732.0",""
"35","Kratik","345454250$16.10%345.45m","54.29%","635","52","99.26%","922,596.5",""
"38","Thilinox","294821019$13.74%294.82m","54.51%","624","54","99.55%","787,371.5",""
"22","Umbramist","293508316$13.68%293.51m","38.05%","627","38","98.87%","783,865.7",""
"21","Acupuncher","288421166$13.45%288.42m","51.33%","627","36","99.08%","770,279.6",""
"63","Nixis","93491714$4.36%93.49m","44.74%","628","68","99.24%","249,686.1",""
"29","Kornbreadd","57582191$2.68%57.58m","43.11%","629","33","95.25%","153,783.4",""
"37","Biglick","34659875$1.62%34.66m","40.66%","633","48","90.43%","92,565.3",""
"43","Jëongyeon","31555903$1.47%31.56m","28.27%","627","53","89.40%","84,275.6",""
"22","Krrn","31177160$1.45%31.18m","35.13%","628","31","93.17%","83,264.1",""
"17","Froginasock","29944077$1.40%29.94m","80.29%","632","27","99.62%","79,970.9",""
"35","Quarm","29612767$1.38%29.61m","32.50%","625","45","94.20%","79,086.1",""
"31","Rippermcgoo","28126790$1.31%28.13m","55.83%","631","42","98.90%","75,117.5",""
"66","Illing","26858436$1.25%26.86m","33.19%","628","71","64.62%","71,730.2",""
"7","Nitroburger","24519334$1.14%24.52m","73.41%","633","14","95.37%","65,483.2",""
"39","Kusri","23698530$1.10%23.70m","49.33%","624","49","80.04%","63,291.1",""
"25","Toshunt","22459902$1.05%22.46m","26.16%","634","34","55.76%","59,983.1",""
"29","Bababryn","21377086$1.00%21.38m","51.93%","628","38","77.42%","57,091.3",""
"31","Chuckleduck","20364302$0.95%20.36m","43.49%","626","35","76.17%","54,386.5",""
"82","Rawbdog","20137792$0.94%20.14m","50.40%","601","85","49.95%","53,781.5",""
"57","Litlam","19059622$0.89%19.06m","41.79%","634","63","94.63%","50,902.1",""
"81","Kamalabiden","16831645$0.78%16.83m","64.45%","622","81","68.06%","44,951.9",""
"30","Shiversting","14882093$0.69%14.88m","26.88%","622","29","18.41%","39,745.3",""
"36","Ampok","7896438$0.37%7.90m","37.38%","622","36","21.35%","21,088.8",""
"9","Therzsham","2611893$0.12%2.61m","53.49%","627","10","51.97%","6,975.5",""
