"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"51","Kratik","311191893$19.04%311.19m","52.48%","635","64","99.66%","858,875.0",""
"57","Chimes","276392037$16.91%276.39m","45.78%","629","68","98.21%","762,829.1",""
"41","Umbramist","267011498$16.34%267.01m","42.79%","627","58","99.31%","736,939.2",""
"18","Thilinox","175396520$10.73%175.40m","61.33%","624","27","79.22%","484,086.2",""
"6","Acupuncher","147690785$9.04%147.69m","57.80%","625","11","79.50%","407,619.6",""
"93","Nixis","123571486$7.56%123.57m","35.79%","628","94","99.68%","341,051.5",""
"15","Kornbreadd","45240974$2.77%45.24m","32.38%","627","19","92.74%","124,863.0",""
"57","Quarm","34526292$2.11%34.53m","4.75%","625","69","89.97%","95,290.9",""
"83","Kusri","28855383$1.77%28.86m","50.25%","624","87","90.30%","79,639.5",""
"20","Nitroburger","27469338$1.68%27.47m","73.20%","631","31","99.40%","75,814.1",""
"73","Illing","27417194$1.68%27.42m","43.46%","628","79","81.35%","75,670.2",""
"58","Toshunt","25578405$1.57%25.58m","23.59%","634","68","68.69%","70,595.2",""
"12","Biglick","22924099$1.40%22.92m","34.92%","633","20","69.07%","63,269.4",""
"89","Rawbdog","20232903$1.24%20.23m","51.68%","601","91","59.28%","55,841.9",""
"91","Kamalabiden","16620092$1.02%16.62m","46.44%","622","90","67.29%","45,870.7",""
"34","Litlam","16457987$1.01%16.46m","37.25%","634","42","71.75%","45,423.3",""
"24","Chuckleduck","13812390$0.85%13.81m","54.89%","626","32","46.00%","38,121.5",""
"67","Ampok","13445848$0.82%13.45m","31.15%","622","70","39.58%","37,109.9",""
"4","Rippermcgoo","10057649$0.62%10.06m","55.77%","631","8","33.83%","27,758.6",""
"2","Krrn","9705633$0.59%9.71m","36.27%","627","4","34.79%","26,787.1",""
"37","Therzsham","7639312$0.47%7.64m","38.51%","627","40","70.94%","21,084.1",""
"4","Bababryn","7065516$0.43%7.07m","53.06%","628","8","29.67%","19,500.5",""
"9","Shiversting","5827044$0.36%5.83m","42.34%","622","13","5.38%","16,082.4",""
