"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"63","Kratik","450763590$15.58%450.76m","36.44%","635","79","98.84%","1,220,906.6",""
"70","Chimes","439000794$15.17%439.00m","35.65%","629","81","96.53%","1,189,046.7",""
"57","Thilinox","368902223$12.75%368.90m","38.16%","624","73","98.94%","999,182.6",""
"24","Umbramist","315192416$10.89%315.19m","39.21%","627","39","98.90%","853,708.0",""
"17","Acupuncher","286973811$9.92%286.97m","39.52%","625","27","99.03%","777,277.1",""
"4","Rawbdog","233574345$8.07%233.57m","39.26%","604","6","98.88%","632,643.1",""
"66","Nixis","104315944$3.61%104.32m","27.82%","628","66","98.88%","282,542.8",""
"50","Kornbreadd","94472375$3.27%94.47m","27.30%","625","56","89.05%","255,881.2",""
"91","Froginasock","88518341$3.06%88.52m","60.11%","632","95","98.61%","239,754.6",""
"96","Illing","57694570$1.99%57.69m","20.55%","628","97","96.80%","156,267.5",""
"20","Nitroburger","49495720$1.71%49.50m","61.02%","631","31","95.62%","134,060.6",""
"87","Toshunt","45971778$1.59%45.97m","21.27%","634","91","94.08%","124,515.9",""
"79","Litlam","41360833$1.43%41.36m","22.45%","634","86","98.84%","112,027.0",""
"30","Biglick","41196716$1.42%41.20m","32.64%","633","44","96.84%","111,582.5",""
"68","Bababryn","39238355$1.36%39.24m","28.79%","627","77","94.75%","106,278.2",""
"50","Quarm","38416807$1.33%38.42m","2.57%","625","62","98.26%","104,053.1",""
"63","Kusri","37658293$1.30%37.66m","38.37%","624","73","92.34%","101,998.6",""
"16","Krrn","36112098$1.25%36.11m","21.88%","627","26","98.15%","97,810.7",""
"97","Kamalabiden","29861366$1.03%29.86m","46.26%","622","97","95.53%","80,880.4",""
"15","Rippermcgoo","27788529$0.96%27.79m","40.25%","631","24","64.17%","75,266.1",""
"10","Chuckleduck","20206009$0.70%20.21m","40.02%","626","16","84.54%","54,728.6",""
"28","Shiversting","19740125$0.68%19.74m","15.33%","622","30","34.07%","53,466.7",""
"41","Ampok","12247209$0.42%12.25m","15.54%","620","44","43.25%","33,171.9",""
"22","Therzsham","7867915$0.27%7.87m","10.72%","627","24","92.92%","21,310.5",""
"7","Aingg","6805203$0.24%6.81m","21.28%","623","11","9.31%","18,432.1",""
