"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"84","Toshunt","1853599046$6.54%1.85b","617","79","97.95%","1,044,431.8",""
"56","Fiernastraza","1584113130$5.59%1.58b","-","68","97.32%","892,586.8",""
"73","Zenatreshan","1533507865$5.41%1.53b","614","73","97.52%","864,072.7",""
"55","Jëongyeon","1524464765$5.38%1.52b","614","60","90.05%","858,977.3",""
"61","Rippermcgoo","1474097167$5.20%1.47b","-","72","85.14%","830,597.1",""
"48","Crusados","1472203502$5.19%1.47b","612","59","98.15%","829,530.1",""
"57","Illing","1428452838$5.04%1.43b","616","58","84.31%","804,878.2",""
"48","Whatthemonke","1428291718$5.04%1.43b","611","55","95.46%","804,787.5",""
"64","Kornflakz","1391226553$4.91%1.39b","612","72","93.27%","783,902.7",""
"38","Lorethian","1367997099$4.83%1.37b","-","29","98.08%","770,813.8",""
"33","Smegolas","1333696721$4.70%1.33b","611","32","98.25%","751,486.8",""
"35","Mickdundey","1254842596$4.43%1.25b","614","25","98.10%","707,055.6",""
"33","Kamalabiden","1245492414$4.39%1.25b","604","64","98.52%","701,787.1",""
"34","Shadiaw","1227946548$4.33%1.23b","-","47","93.01%","691,900.7",""
"49","Piron","1218507337$4.30%1.22b","605","82","80.43%","686,582.0",""
"26","Gadzoonia","1201415865$4.24%1.20b","-","46","98.02%","676,951.6",""
"27","Kiikah","1129907162$3.99%1.13b","614","19","83.97%","636,659.2",""
"22","Kalatheia","1043066065$3.68%1.04b","611","23","83.35%","587,727.6",""
"56","Froginasock","992640642$3.50%992.64m","613","67","64.19%","559,314.8",""
"23","Therzsham","904134005$3.19%904.13m","612","16","91.18%","509,444.7",""
"61","Ampox","750832662$2.65%750.83m","-","60","98.10%","423,065.3",""
"17","Boomslugg","487589461$1.72%487.59m","-","13","98.41%","274,737.9",""
"57","Bababryn","152416115$0.54%152.42m","613","65","91.70%","85,880.6",""
"74","Thilinox","140180330$0.49%140.18m","-","74","95.20%","78,986.2",""
"53","Vulperiest","129681060$0.46%129.68m","614","57","56.34%","73,070.3",""
"21","Buurny","58282605$0.21%58.28m","611","19","84.67%","32,840.0",""
"23","Kratik","18491321$0.07%18.49m","-","28","16.95%","10,419.1",""
