"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"87","Toshunt","576368637$10.38%576.37m","661","77","90","2106969",""
"75","Illing","574202847$10.34%574.20m","660","36","90","1897569",""
"73","Froginasock","527413676$9.50%527.41m","661","36","90","1960742",""
"67","Rippermcgoo","493949772$8.90%493.95m","657","41","90","1773011",""
"54","Litlam","398053506$7.17%398.05m","659","34","90","1763492",""
"23","Kamalabiden","379639098$6.84%379.64m","634","65","90","1182451",""
"37","Aingg","373611758$6.73%373.61m","654","23","90","1555215",""
"36","Therzsham","371527276$6.69%371.53m","644","56","90","1347514",""
"37","Fyaball","365922077$6.59%365.92m","656","26","90","1513234",""
"27","Nitroburger","361041130$6.50%361.04m","655","16","90","1356162",""
"32","Biglick","313867248$5.65%313.87m","655","23","90","1308447",""
"85","Nixis","272006356$4.90%272.01m","661","52","90","919910",""
"36","Kornbreadd","202553700$3.65%202.55m","651","33","90","805257",""
"32","Shiversting","96669365$1.74%96.67m","651","26","90","1163774",""
"43","Umbramist","89384589$1.61%89.38m","653","31","90","630731",""
"38","Acupuncher","79743370$1.44%79.74m","663","8","90","338355",""
"64","Chimes","30986987$0.56%30.99m","656","61","90","128947",""
"39","Kratik","8999499$0.16%9.00m","659","37","90","66045",""
"17","Chuckleduck","2126654$0.04%2.13m","648","18","90","945923",""
