"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"69","Chimes","741139500$20.61%741.14m","46.56%","621","73","98.00%","863,201.4",""
"45","Kratik","611307540$17.00%611.31m","45.19%","622","46","99.72%","711,986.7",""
"22","Rikoswauvey","444579382$12.36%444.58m","39.07%","611","33","75.75%","517,799.3",""
"26","Buurny","398271273$11.08%398.27m","55.90%","615","33","95.76%","463,864.5",""
"61","Bababryn","351072482$9.76%351.07m","47.80%","-","66","97.49%","408,892.3",""
"39","Ampox","255256070$7.10%255.26m","52.28%","619","47","93.27%","297,295.4",""
"44","Boomslugg","126635168$3.52%126.64m","45.11%","617","45","99.63%","147,491.3",""
"72","Kornflakz","67538527$1.88%67.54m","12.56%","619","75","61.17%","78,661.8",""
"81","Illing","67001324$1.86%67.00m","26.57%","623","83","76.81%","78,036.1",""
"36","Lorethian","64289582$1.79%64.29m","30.77%","626","37","94.03%","74,877.7",""
"23","Jëongyeon","58037780$1.61%58.04m","21.28%","620","24","57.36%","67,596.3",""
"23","Piron","55519287$1.54%55.52m","31.32%","616","34","88.15%","64,663.0",""
"54","Rippermcgoo","55253520$1.54%55.25m","53.18%","622","59","93.72%","64,353.5",""
"82","Drbuttpus","44313470$1.23%44.31m","39.52%","621","85","40.37%","51,611.7",""
"14","Rasmog","41399773$1.15%41.40m","83.94%","616","19","83.73%","48,218.1",""
"47","Whatthemonke","41244638$1.15%41.24m","48.20%","620","47","86.00%","48,037.4",""
"32","Deathpocketz","40469321$1.13%40.47m","39.93%","625","31","68.11%","47,134.4",""
"53","Drazdh","36140231$1.01%36.14m","67.68%","619","72","43.65%","42,092.3",""
"43","Toshunt","33664011$0.94%33.66m","36.89%","629","48","42.30%","39,208.3",""
"32","Fiernastraza","26462414$0.74%26.46m","28.95%","617","39","55.53%","30,820.6",""
"30","Gadzoonia","24531649$0.68%24.53m","18.34%","613","45","57.16%","28,571.9",""
"15","Therzsham","11588491$0.32%11.59m","2.34%","622","15","49.48%","13,497.1",""
