"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"73","Chimes","441088350$20.59%441.09m","0","656","68","90","1704830",""
"66","Kratik","438040919$20.45%438.04m","0","659","52","90","1716972",""
"50","Umbramist","423226063$19.75%423.23m","0","653","40","90","1337410",""
"49","Acupuncher","341411983$15.94%341.41m","0","663","15","90","1536394",""
"78","Nixis","114341056$5.34%114.34m","0","661","79","90","415314",""
"65","Kornbreadd","88628516$4.14%88.63m","0","651","68","90","353791",""
"77","Froginasock","68802901$3.21%68.80m","0","661","75","90","244409",""
"35","Nitroburger","46325681$2.16%46.33m","0","655","38","90","193400",""
"54","Biglick","44761546$2.09%44.76m","0","655","55","90","157160",""
"58","Illing","39504732$1.84%39.50m","0","660","59","90","122512",""
"42","Rippermcgoo","31687659$1.48%31.69m","0","657","41","90","132630",""
"51","Litlam","15463567$0.72%15.46m","0","659","59","90","79420",""
"23","Aingg","15338420$0.72%15.34m","0","654","30","90","45473",""
"48","Kamalabiden","11517770$0.54%11.52m","0","634","62","90","48298",""
"36","Shiversting","9174436$0.43%9.17m","0","651","35","90","81983",""
"36","Therzsham","5759188$0.27%5.76m","0","644","37","90","44896",""
"9","Fyaball","3290741$0.15%3.29m","0","656","11","90","24513",""
"26","Chuckleduck","2269063$0.11%2.27m","0","648","28","90","78523",""
"10","Toshunt","1811795$0.08%1.81m","0","661","8","90","50089",""
